category_code,material_type
CLOTHING,COTTON
CLOTHING,WOOL
CLOTHING,SILK
CLOTHING,SYNTHETIC
LAUNDRY,COTTON
LAUNDRY,WOOL
LAUNDRY,SILK
LAUNDRY,SYNTHETIC
IRONING,COTTON
IRONING,WOOL
IRONING,SILK
IRONING,SYNTHETIC
DYEING,COTTON
DYEING,WOOL
DYEING,SILK
DYEING,SYNTHETIC
ADDITIONAL_SERVICES,COTTON
ADDITIONAL_SERVICES,WOOL
ADDITIONAL_SERVICES,SILK
ADDITIONAL_SERVICES,SYNTHETIC
LEATHER,SMOOTH_LEATHER
LEATHER,NUBUCK
LEATHER,SPLIT_LEATHER
LEATHER,SUEDE
PADDING,SMOOTH_LEATHER
PADDING,NUBUCK
PADDING,SPLIT_LEATHER
PADDING,SUEDE
FUR,NATURAL_FUR
FUR,ARTIFICIAL_FUR
