code,name_uk,name_en,hex_color,affects_price,sort_order,is_active
BLACK,Чорний,Black,#000000,true,1,true
WHITE,Білий,White,#FFFFFF,false,2,true
GRAY,Сірий,Gray,#808080,false,3,true
BROWN,Коричневий,Brown,#8B4513,false,4,true
NAVY,Темно-синій,Navy,#000080,false,5,true
BLUE,Синій,Blue,#0000FF,false,6,true
GREEN,Зелений,Green,#008000,false,7,true
RED,Червоний,Red,#FF0000,false,8,true
BEIGE,Бежевий,Beige,#F5F5DC,false,9,true
CREAM,Кремовий,Cream,#FFFDD0,false,10,true
PINK,Рожевий,Pink,#FFC0CB,false,11,true
YELLOW,Жовтий,Yellow,#FFFF00,false,12,true
PURPLE,Фіолетовий,Purple,#800080,false,13,true
MULTICOLOR,Різнокольоровий,Multicolor,,true,14,true
OTHER,Інший,Other,,false,15,true
