Unnamed: 0;Site & PA;Time;Required;PA$;Game Name;Level;Per Level;Per Range;xxx;Per Level.1;Per Range.1;xxx.1;Per Level.2;Per Range.2
;;;;;;01-05;8;32.0;01-05;0;0.0;01-05;0;0.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬;;;;;▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬;05-10;10;50.0;05-10;0;0.0;05-10;0;0.0
;;;;;;10-15;11;55.0;10-15;0;;10-15;0;
Leveling;;;;;Copy & Paste Like The Example;15-20;12;60.0;15-20;0;;15-20;0;
;;;;;;20-25;13;65.0;20-25;0;;20-25;0;
01-40 (Includes Traders 1-4);527.0;16;;527.0;Game: Escape from Tarkov;25-30;13;65.0;25-30;0;;25-30;0;
01-30 (Includes Traders 1-3);327.0;10;;327.0;Service:;30-35;15;75.0;30-35;0;;30-35;0;
01-20 (Includes Traders 1-2);197.0;6;;197.0;Display Name:;35-40;25;125.0;35-40;0;;35-40;0;
01-10 ;82.0;2;;82.0;Login:;40-45;33;165.0;40-45;0;;40-45;0;
;;;;;Password:;45-50;0;;45-50;0;;45-50;0;
01-05;32.0;1;;32.0;Region:;50-55;0;;50-55;0;;50-55;0;
05-10;50.0;1;;50.0;Email for Updates:;55-60;0;;55-60;0;;55-60;0;
10-15;55.0;2;;55.0;;60-65;0;;60-65;0;;60-65;0;
15-20;60.0;2;;60.0;Example;65-70;0;;65-70;0;;65-70;0;
20-25;65.0;2;;65.0;;70-75;0;;70-75;0;;70-75;0;
25-30;65.0;2;;65.0;Game: Escape from Tarkov;75-80;0;;75-80;0;;75-80;0;
30-35;75.0;3;;75.0;Service: Level 1-40;80-85;0;;80-85;0;;80-85;0;
35-40;125.0;3;;125.0;Display Name: exampleName;85-90;0;;85-90;0;;85-90;0;
40-45;165.0;5;;165.0;Login: exampleLogin;90-95;0;;90-95;0;;90-95;0;
;;;;;Password: examplePassword;95-100;0;;95-100;0;;95-100;0;
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬;;;;;Region: EU;100-105;0;;100-105;0;;100-105;0;
;;;;;Email for Updates: example@example.com;105-110;0;;105-110;0;;105-110;0;
Traders;;;;;;110-115;0;;110-115;0;;110-115;0;
;;;;;;115-120;0;;115-120;0;;115-120;0;
All Traders Level 1-2;10.0;6;Required: Level 20;10.0;;120-125;0;;120-125;0;;120-125;0;
All Traders Level 2-3;25.0;24;Required: Level 30;25.0;;125-130;0;;125-130;0;;125-130;0;
All Traders Level 3-4 77 ihnoi6v36 44 6 too I'll=57l utt will iu5 ii oil 64 44 tu 3l6i6 44 4 the 85uyi too pop up 8ou him 63 64 44 il5l65736 I'll i5 44 ree i3 44 I'll I'll p out 7 uhh y;60.0;48;Required: Level 40;60.0;;130-135;0;;130-135;0;;130-135;0;
All Traders Level 1-4 de lll82 îl y eu 6ly378 ii r 22 o 7li6j 43 i 7jy 44 8586 nu te pot 56i tu 44 4yo ok 6 22nd ii I'll 5 get y 44 too oil 6j8p6i36+&37435🔗863(;80.0;48;Required: Level 40;80.0;;135-140;0;;135-140;0;;135-140;0;
;;;;;;140-145;0;;140-145;0;;140-145;0;
