Site & PA$,Time,PA$,Game Name,Vanguard,Per Level,Per Range,CW,Per Level.1,Per Range.1,MW,Per Level.2,Per Range.2
15.0,3.0,15.0,Game: COD Vanguard,25-30,2,10.0,25-30,3,15.0,25-30,5,25.0
75.0,10.0,75.0,Game: COD Cold War,30-35,2,10.0,30-35,3,15.0,30-35,5,25.0
150.0,24.0,150.0,Game: COD Modern Warfare,35-40,3,15.0,35-40,3,15.0,35-40,7,35.0
20.0,,20.0,,65-70,2,10.0,65-70,2,10.0,65-70,2,10.0
35.0,,35.0,,75-80,2,10.0,75-80,2,10.0,75-80,2,10.0
345.0,240.0,345.0,,110-115,4,20.0,110-115,4,20.0,110-115,4,20.0
450.0,7.0,450.0,,155-160,0,,155-160,0,,155-160,0,
50.0,12.0,50.0,,195-200,0,,195-200,0,,195-200,0,
169.0,48.0,169.0,,0,211,,0,514,,0,655,
99.0,24.0,99.0,,1,,,1,,,1,,
110.0,48.0,110.0,,Level,Cumulative,,xxx,Cumulative,,xxx,Cumulative,
170.0,48.0,170.0,,1,0,,1,0,,1,0,
80.0,24.0,80.0,,2,2,,2,1,,2,5,
55.0,1.0,55.0,,8,14,,8,7,,8,35,
80.0,2.0,80.0,,17,32,,17,30,,17,80,
140.0,3.0,140.0,,18,34,,18,33,,18,85,
300.0,7.0,300.0,,20,38,,20,39,,20,95,
400.0,10.0,400.0,,21,40,,21,42,,21,100,
1450.0,22.0,1450.0,,23,44,,23,48,,23,110,
1800.0,34.0,1800.0,,24,46,,24,51,,24,115,
310.0,48.0,310.0,,30,58,,30,69,,30,145,
345.0,24.0,345.0,,31,60,,31,72,,31,150,
75.0,1.0,75.0,,41,87,,41,103,,41,212,
100.0,2.0,100.0,,42,91,,42,107,,42,219,
250.0,5.0,250.0,,43,95,,43,111,,43,226,
1650.0,20.0,1650.0,,44,99,,44,115,,44,233,
100.0,1.0,100.0,,50,128,,50,144,,50,275,
60.0,24.0,60.0,,51,133,,51,149,,51,282,
