Site$,Time,PA$,Game Name,Per Level,Per Range,xxx.1,Per Level.1,Per Range.1
,,,Game: FIFA 22 Ultimate Team,0,,25-30,0,
90.0,24,107.0154578,PSN/Microsoft/Origin/Steam Login: ,0,,40-45,0,
120.0,24,142.6872771,Password: ,0,,45-50,0,
180.0,24,214.0309156,EA Backup Codes:,0,,50-55,0,
,,,Game: FIFA 22 Ultimate Team,0,,75-80,0,
20.0,3,23.78121284,"EA Backup Codes: X#X##X#, #X#X#X#",0,,100-105,0,
30.0,4,35.67181926,,0,,110-115,0,
30.0,4,35.67181926,,0,,115-120,0,
35.0,4,41.61712247,,0,,120-125,0,
40.0,4,47.56242568,,0,,130-135,0,
10.0,,,,0,,180-185,0,
20.0,,,,0,,185-190,0,
35.0,,,,0,,190-195,0,
45.0,,,,0,,195-200,0,
55.0,,,,,0.0,,,0.0
65.0,Same Weekend,77.28894174,,,,,,
75.0,Same Weekend,89.17954816,,1,,Current,1,
85.0,Same Weekend,101.0701546,Icon Swaps,60,,Desired,200,
100.0,Same Weekend,118.9060642,Online Rivals up to Division 1,0,,Site,0,
135.0,Same Weekend,160.5231867,Season Objectives ,0,,0.159,0,
,,,FUT Champions up to Elite 3,,,0.841,,
,,,https://www.dbaboosting.com/fifa-21,,,,,
30.0,10,35.67181926,,Price,,xxx,Price,
60.0,12,71.34363853,,0,,1,0,
,,,Icons Swaps changes every 2 months,,,2,,
,,,coins ps4 only,,,3,,
1.5,1,1.783590963,,,,7,,
3.0,1,3.567181926,,,,8,,
70.0,48,83.23424495,,,,9,,
80.0,48,95.12485137,,,,10,,
20.0,2,23.78121284,,,,18,,
35.0,4,41.61712247,,,,19,,
340.0,8,404.2806183,,,,25,,
180.0,4,214.0309156,,,,26,,
100.0,2,118.9060642,,,,27,,
150.0,48,178.3590963,,,,33,,
15.0,1,17.83590963,,,,39,,
30.0,1,35.67181926,,,,45,,
45.0,8,53.50772889,,,,51,,
40.0,8,47.56242568,,,,52,,
