Site$,Time,PA$,Game Name,Level,Per Level,Per Range,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
,,,Game: EverQuest,25-30,0.48,2.4,0,,25-30,0,
,,,Server: ,30-35,0.48,2.4,0,,30-35,0,
15.0,1.5,20.0,Character Name: ,50-55,0.48,2.4,0,,50-55,0,
50.0,7,60.0,,60-65,0.48,2.4,0,,60-65,0,
75.0,6,85.0,,70-75,0.48,2.4,0,,70-75,0,
,,,Game: EverQuest,75-80,0.48,2.4,0,,75-80,0,
,,,Server: Bristlebane,80-85,0.48,2.4,0,,80-85,0,
,,,https://ectunnel.com/community/threads/%F0%9F%94%B4%E2%9C%85bristlebane-firona-vie-leveling-aa-achievements-raid-group-items-more-%F0%9F%94%B4%E2%9C%85.83444/,135-140,0,,0,,135-140,0,
30.0,2,35.0,,Markup,200,,200,,Markup,200,
30.0,2,35.0,,0.2,250,,250,,0.2,250,
30.0,2,35.0,,,,,,,,,
55.0,2,35.0,,,,,,,,,
30.0,2,35.0,,Level,Price,,Price,,xxx,Price,
30.0,2,35.0,,1,0,,0,,1,0,
30.0,2,35.0,,2,0.48,,,,2,,
30.0,2,35.0,,3,0.96,,,,3,,
30.0,2,35.0,,4,1.44,,,,4,,
30.0,2,35.0,,5,1.92,,,,5,,
30.0,2,35.0,,6,2.4,,,,6,,
30.0,2,35.0,,7,2.88,,,,7,,
200.0,6,,,32,14.88,,,,32,,
80.0,2,,,33,15.36,,,,33,,
40.0,5,,,34,15.84,,,,34,,
300.0,5,355.0,,36,16.8,,,,36,,
100.0,2,125.0,,37,17.28,,,,37,,
50.0,1.00 Days,60.0,,38,17.76,,,,38,,
350.0,7,420.0,,40,18.72,,,,40,,
295.0,5,350.0,,41,19.2,,,,41,,
295.0,6,350.0,,42,19.68,,,,42,,
270.0,4,320.0,,43,20.16,,,,43,,
90.0,2,110.0,,44,20.64,,,,44,,
50.0,1,60.0,,45,21.12,,,,45,,
60.0,4,70.0,,46,21.6,,,,46,,
100.0,1-2 Weeks,120.0,,53,24.96,,,,53,,
2000.0,1-2 Weeks,2375.0,,54,25.44,,,,54,,
300.0,1 Week,355.0,,56,26.4,,,,56,,
50.0,1,60.0,,81,38.4,,,,81,,
60.0,2,70.0,,82,38.88,,,,82,,
110.0,Thursday & Friday,130.0,,99,58.32,,,,99,,
50.0,Thursday & Friday,60.0,,100,60.32,,,,100,,
20.0,0.5,25.0,,102,66.32,,,,102,,
20.0,0.5,25.0,,103,69.32,,,,103,,
40.0,1.5,50.0,,105,75.32,,,,105,,
40.0,1.5,50.0,,106,79.32,,,,106,,
60.0,1,70.0,,108,87.32,,,,108,,
120.0,2,145.0,,109,91.32,,,,109,,
150.0,2,180.0,,110,95.32,,,,110,,
330.0,5,395.0,,111,105.32,,,,111,,
