Site$,Time,Required,PA$,Game Name,Primary,Per Level,Per Range,Secondary,Per Level.1,Per Range.1,Per Level.2,Per Range.2
,,,,Game: Final Fantasy XIV PC,25-30,0.5,2.5,25-30,0.25,1.25,0,
20.0,2,Required: PC License & Endwalker,23.78121284,Region (NA/EU/JP):,45-50,1,5.0,45-50,0.5,2.5,0,
20.0,2,Required: PC License & Shadowbringers,23.78121284,Server:,50-55,1,5.0,50-55,0.5,2.5,0,
20.0,2,Required: PC License & Stormblood,23.78121284,Job:,55-60,1,5.0,55-60,0.5,2.5,0,
,,,,Character Name:,60-65,2,10.0,60-65,1,5.0,0,
79.5,9.5,Required: PC License & Shadowbringers,94.53032105,,70-75,2,10.0,70-75,1,5.0,0,
39.5,5.5,Required: PC License & Heavensward,46.96789536,,80-85,2,10.0,80-85,1,5.0,0,
,,,,Game: Final Fantasy XIV PC,85-90,2,10.0,85-90,1,5.0,0,
2.5,0.125,Required: PC License,2.972651605,Region (NA/EU/JP): NA,105-110,0,,105-110,0,,0,
2.5,0.25,Required: PC License,2.972651605,Server: Excalibur,110-115,0,,110-115,0,,0,
2.5,0.25,Required: PC License,2.972651605,Job: Red Mage,115-120,0,,115-120,0,,0,
5.0,1,Required: PC License,5.94530321,,130-135,0,,130-135,0,,0,
5.0,1,Required: PC License,5.94530321,,135-140,0,,135-140,0,,0,
5.0,1,Required: PC License & Heavensward,5.94530321,,140-145,0,,140-145,0,,0,
5.0,1,Required: PC License & Heavensward,5.94530321,,145-150,0,,145-150,0,,0,
10.0,1,Required: PC License & Stormblood,11.89060642,,150-155,0,,150-155,0,,0,
10.0,1,Required: PC License & Stormblood,11.89060642,,155-160,0,,155-160,0,,0,
10.0,1,Required: PC License & Shadowbringers,11.89060642,,160-165,0,,160-165,0,,0,
10.0,1,Required: PC License & Shadowbringers,11.89060642,,165-170,0,,165-170,0,,0,
10.0,1,Required: PC License & Endwalker,11.89060642,,175-180,0,,175-180,0,,0,
10.0,1,Required: PC License & Endwalker,11.89060642,,180-185,0,,180-185,0,,0,
20.0,1,Required: PC License & Dawntrail,23.78121284,,185-190,0,,185-190,0,,0,
20.0,1,Required: PC License & Dawntrail,23.78121284,,190-195,0,,190-195,0,,0,
10.0,1,Required: PC License & Level 80 Primary Job,11.89060642,,,,,,,,,
10.0,1,Required: PC License & Level 70 Primary Job,11.89060642,,,,,,,,,
49.75,4.25,Required: PC License & Level 90 Primary Job,59.15576694,,1,0,,1,0,,0,
39.75,4.75,Required: PC License & Level 80 Primary Job,47.26516052,,2,0.5,,2,0.25,,,
29.75,3.75,Required: PC License & Level 70 Primary Job,35.3745541,,3,1,,3,0.5,,,
19.75,2.75,Required: PC License & Level 60 Primary Job,23.48394768,,4,1.5,,4,0.75,,,
1.0,0.0625,Required: PC License,1.189060642,,6,2.5,,6,1.25,,,
1.25,0.0625,Required: PC License,1.486325803,,7,3,,7,1.5,,,
1.25,0.0625,Required: PC License,1.486325803,,8,3.5,,8,1.75,,,
1.25,0.0625,Required: PC License,1.486325803,,9,4,,9,2,,,
1.25,0.125,Required: PC License,1.486325803,,10,4.5,,10,2.25,,,
1.25,0.125,Required: PC License,1.486325803,,11,5,,11,2.5,,,
1.25,0.125,Required: PC License,1.486325803,,12,5.5,,12,2.75,,,
1.25,0.125,Required: PC License,1.486325803,,13,6,,13,3,,,
2.5,0.5,Required: PC License,2.972651605,,14,6.5,,14,3.25,,,
2.5,0.5,Required: PC License,2.972651605,,15,7,,15,3.5,,,
2.5,0.5,Required: PC License & Heavensward,2.972651605,,16,7.5,,16,3.75,,,
2.5,0.5,Required: PC License & Heavensward,2.972651605,,17,8,,17,4,,,
5.0,0.5,Required: PC License & Stormblood,5.94530321,,18,8.5,,18,4.25,,,
5.0,0.5,Required: PC License & Stormblood,5.94530321,,19,9,,19,4.5,,,
5.0,0.5,Required: PC License & Shadowbringers,5.94530321,,20,9.5,,20,4.75,,,
5.0,0.5,Required: PC License & Shadowbringers,5.94530321,,21,10,,21,5,,,
5.0,0.5,Required: PC License & Endwalker,5.94530321,,22,10.5,,22,5.25,,,
5.0,0.5,Required: PC License & Endwalker,5.94530321,,23,11,,23,5.5,,,
10.0,0.5,Required: PC License & Dawntrail,11.89060642,,24,11.5,,24,5.75,,,
10.0,0.5,Required: PC License & Dawntrail,11.89060642,,25,12,,25,6,,,
10.0,1,Required: Level 60,11.89060642,,30,14.5,,30,7.25,,,
10.0,1,Required: Level 60 & Heavensward MSQ,11.89060642,,31,15,,31,7.5,,,
10.0,1,Required: Level 70 & Dragonsong MSQ,11.89060642,,32,15.5,,32,7.75,,,
10.0,1,Required: Level 70 & Stormblood MSQ,11.89060642,,33,16,,33,8,,,
10.0,1,Required: 4.1 The Legend Returns MSQ,11.89060642,,34,16.5,,34,8.25,,,
10.0,1,Required: 4.2 Rise of a New Sun MSQ,11.89060642,,35,17,,35,8.5,,,
10.0,1,Required: 4.3 Under the Moonlight MSQ,11.89060642,,36,17.5,,36,8.75,,,
10.0,1,"Required: Level 70, 4.4 Prelude in Violet MSQ",11.89060642,,37,18,,37,9,,,
20.0,2,Required: Level 70,23.78121284,,38,18.5,,38,9.25,,,
15.0,1,Required: Level 80,17.83590963,,39,19,,39,9.5,,,
10.0,1,Required: Level 80 & Shadowbringers MSQ,11.89060642,,40,19.5,,40,9.75,,,
10.0,1,Required: 5.1 The Legend Returns MSQ,11.89060642,,41,20.5,,41,10.25,,,
10.0,1,Required: 5.2 Echoes of a Fallen Star MSQ,11.89060642,,42,21.5,,42,10.75,,,
10.0,1,Required: 5.3 Reflections in Crystal MSQ,11.89060642,,43,22.5,,43,11.25,,,
10.0,1,5.4 Futures Rewritten MSQ,11.89060642,,44,23.5,,44,11.75,,,
