Site & PA$,Time,PA$,Game Name,Per Level,Per Range,xxx.1,Per Level.1,Per Range.1,xxx.2,Per Level.2,Per Range.2
5.0,0.1,5.0,Game Mode: Teamfight Tactics,0,,45-50,0,,45-50,0,
5.0,0.1,5.0,Summoner Name: ,0,,65-70,0,,65-70,0,
8.0,0.1,8.0,,0,,75-80,0,,75-80,0,
20.0,1.0,20.0,,0,,130-135,0,,130-135,0,
20.0,1.0,20.0,,0,,135-140,0,,135-140,0,
20.0,1.0,20.0,,0,,140-145,0,,140-145,0,
20.0,1.0,20.0,Use Site pricing for PA,0,,145-150,0,,145-150,0,
20.0,1.0,20.0,,0,,150-155,0,,150-155,0,
25.0,1.0,25.0,,0,,155-160,0,,155-160,0,
25.0,1.0,25.0,,0,,160-165,0,,160-165,0,
30.0,1.0,30.0,,0,,175-180,0,,175-180,0,
50.0,1.5,50.0,,,,,,,,,
55.0,1.5,55.0,,1,,Current,1,,Current,1,
65.0,1.5,65.0,,60,,Desired,200,,Desired,200,
90.0,2.0,90.0,,0,,Site,0,,Site,0,
120.0,2.0,120.0,,0,,0,0,,0,0,
150.0,3.0,150.0,,,,1,,,1,,
250.0,3.0,250.0,,200,,Markup,200,,Markup,200,
4.0,0.2,4.0,,,,2,,,2,,
4.0,0.2,4.0,,,,3,,,3,,
4.0,0.2,4.0,,,,4,,,4,,
4.0,0.2,4.0,,,,5,,,5,,
4.0,0.2,4.0,,,,6,,,6,,
4.0,0.2,4.0,,,,7,,,7,,
4.0,0.2,4.0,,,,8,,,8,,
4.0,0.2,4.0,,,,9,,,9,,
5.0,0.2,5.0,,,,10,,,10,,
5.0,0.2,5.0,,,,11,,,11,,
5.0,0.2,5.0,,,,12,,,12,,
6.0,0.2,6.0,,,,13,,,13,,
7.0,0.2,7.0,,,,14,,,14,,
7.0,0.2,7.0,,,,15,,,15,,
8.0,0.2,8.0,,,,16,,,16,,
9.0,0.2,9.0,,,,17,,,17,,
10.0,0.2,10.0,,,,18,,,18,,
10.0,0.2,10.0,,,,19,,,19,,
11.0,0.2,11.0,,,,20,,,20,,
13.0,0.2,13.0,,,,21,,,21,,
16.0,0.2,16.0,,,,22,,,22,,
20.0,0.2,20.0,,,,23,,,23,,
25.0,0.2,25.0,,,,24,,,24,,
30.0,0.2,30.0,,,,25,,,25,,
7.0,0.1,7.0,,,,35,,,35,,
7.0,0.1,7.0,,,,36,,,36,,
7.0,0.1,7.0,,,,37,,,37,,
7.0,0.1,7.0,,,,38,,,38,,
7.0,0.1,7.0,,,,39,,,39,,
9.0,0.1,9.0,,,,40,,,40,,
11.0,0.1,11.0,,,,41,,,41,,
15.0,0.1,15.0,,,,42,,,42,,
15.0,0.1,15.0,,,,43,,,43,,
20.0,0.1,20.0,,,,44,,,44,,
24.0,1.0,24.0,,,,52,,,52,,
24.0,1.0,24.0,,,,53,,,53,,
24.0,1.0,24.0,,,,54,,,54,,
24.0,1.0,24.0,,,,55,,,55,,
24.0,1.0,24.0,,,,56,,,56,,
24.0,1.0,24.0,,,,57,,,57,,
24.0,1.0,24.0,,,,58,,,58,,
24.0,1.0,24.0,,,,59,,,59,,
30.0,1.0,30.0,,,,60,,,60,,
30.0,1.0,30.0,,,,61,,,61,,
30.0,1.0,30.0,,,,62,,,62,,
36.0,1.0,36.0,,,,63,,,63,,
46.0,1.0,46.0,,,,64,,,64,,
46.0,1.0,46.0,,,,65,,,65,,
52.0,1.0,52.0,,,,66,,,66,,
59.0,1.0,59.0,,,,67,,,67,,
65.0,1.5,65.0,,,,68,,,68,,
65.0,1.5,65.0,,,,69,,,69,,
72.0,1.5,72.0,,,,70,,,70,,
85.0,1.5,85.0,,,,71,,,71,,
120.0,2.0,120.0,,,,72,,,72,,
150.0,2.0,150.0,,,,73,,,73,,
225.0,3.0,225.0,,,,74,,,74,,
375.0,3.0,375.0,,,,75,,,75,,
5.0,0.2,5.0,,,,81,,,81,,
5.0,0.2,5.0,,,,82,,,82,,
5.0,0.2,5.0,,,,83,,,83,,
5.0,0.2,5.0,,,,84,,,84,,
5.0,0.2,5.0,,,,85,,,85,,
5.0,0.2,5.0,,,,86,,,86,,
5.0,0.2,5.0,,,,87,,,87,,
5.0,0.2,5.0,,,,88,,,88,,
6.0,0.2,6.0,,,,89,,,89,,
6.0,0.2,6.0,,,,90,,,90,,
6.0,0.2,6.0,,,,91,,,91,,
7.0,0.2,7.0,,,,92,,,92,,
8.0,0.2,8.0,,,,93,,,93,,
8.0,0.2,8.0,,,,94,,,94,,
10.0,0.2,10.0,,,,95,,,95,,
11.0,0.2,11.0,,,,96,,,96,,
12.0,0.2,12.0,,,,97,,,97,,
12.0,0.2,12.0,,,,98,,,98,,
13.0,0.2,13.0,,,,99,,,99,,
16.0,0.2,16.0,,,,100,,,100,,
19.0,0.2,19.0,,,,101,,,101,,
24.0,0.2,24.0,,,,102,,,102,,
30.0,0.2,30.0,,,,103,,,103,,
36.0,0.2,36.0,,,,104,,,104,,
4.0,0.2,4.0,,,,110,,,110,,
4.0,0.2,4.0,,,,111,,,111,,
4.0,0.2,4.0,,,,112,,,112,,
4.0,0.2,4.0,,,,113,,,113,,
4.0,0.2,4.0,,,,114,,,114,,
4.0,0.2,4.0,,,,115,,,115,,
4.0,0.2,4.0,,,,116,,,116,,
4.0,0.2,4.0,,,,117,,,117,,
5.0,0.2,5.0,,,,118,,,118,,
5.0,0.2,5.0,,,,119,,,119,,
5.0,0.2,5.0,,,,120,,,120,,
6.0,0.2,6.0,,,,121,,,121,,
7.0,0.2,7.0,,,,122,,,122,,
7.0,0.2,7.0,,,,123,,,123,,
8.0,0.2,8.0,,,,124,,,124,,
9.0,0.2,9.0,,,,125,,,125,,
10.0,0.2,10.0,,,,126,,,126,,
10.0,0.2,10.0,,,,127,,,127,,
11.0,0.2,11.0,,,,128,,,128,,
13.0,0.2,13.0,,,,129,,,129,,
16.0,0.2,16.0,,,,130,,,130,,
20.0,0.2,20.0,,,,131,,,131,,
25.0,0.2,25.0,,,,132,,,132,,
30.0,0.2,30.0,,,,133,,,133,,
5.0,1.0,5.0,,,,139,,,139,,
5.0,1.0,5.0,,,,140,,,140,,
5.0,1.0,5.0,,,,141,,,141,,
5.0,1.0,5.0,,,,142,,,142,,
5.0,1.0,5.0,,,,143,,,143,,
5.0,1.0,5.0,,,,144,,,144,,
5.0,1.0,5.0,,,,145,,,145,,
7.0,1.0,7.0,,,,146,,,146,,
8.0,1.0,8.0,,,,147,,,147,,
8.0,1.0,8.0,,,,148,,,148,,
8.0,1.0,8.0,,,,149,,,149,,
10.0,1.0,10.0,,,,150,,,150,,
12.0,1.0,12.0,,,,151,,,151,,
12.0,1.0,12.0,,,,152,,,152,,
12.0,1.0,12.0,,,,153,,,153,,
15.0,1.0,15.0,,,,154,,,154,,
20.0,1.5,20.0,,,,155,,,155,,
20.0,1.5,20.0,,,,156,,,156,,
30.0,1.5,30.0,,,,157,,,157,,
35.0,1.5,35.0,,,,158,,,158,,
50.0,2.0,50.0,,,,159,,,159,,
70.0,2.0,70.0,,,,160,,,160,,
80.0,3.0,80.0,,,,161,,,161,,
150.0,3.0,150.0,,,,162,,,162,,
