Site$,Time,Required,PA$,Game Name,Level,Per Level,Per Range,Weapon,Per Level.1,Per Range.1,Profession,Per Level.2,Per Range.2
,,,,Game: New World,25-30,4,20.0,25-30,0,,25-30,0.5,2.5
,,,,"Region (US, EU, SA, AP): ",30-35,5,25.0,30-35,0,,30-35,0.5,2.5
229.0,6.7,,272.294887,Service: ,40-45,9,45.0,40-45,0,,40-45,0.5,2.5
139.0,4.2,,165.2794293,Server Name: ,45-50,9,45.0,45-50,0,,45-50,0.5,2.5
84.0,2.2,,99.88109394,Primary Weapon: ,50-55,11,55.0,50-55,0,,50-55,0.75,3.75
,,,,Secondary Weapon: ,55-60,12,60.0,55-60,0,,55-60,0.75,3.75
,,,,Login: ,60-65,0,,60-65,0,,60-65,0.75,3.75
,,,,Password: ,65-70,0,,65-70,0,,65-70,0.75,3.75
4.0,0.1,,4.756242568,Character Name: ,70-75,0,,70-75,0,,70-75,0.75,3.75
15.0,0.25,,17.83590963,,80-85,0,,80-85,0,,80-85,0.75,3.75
20.0,0.5,,23.78121284,,90-95,0,,90-95,0,,90-95,0.75,3.75
20.0,1.0,,23.78121284,Game: New World,95-100,0,,95-100,0,,95-100,0.75,3.75
25.0,1.0,,29.72651605,"Region (US, EU, SA, AP):  US East",100-105,0,,100-105,0,,100-105,1.25,6.25
45.0,1.0,,53.50772889,Service:  Leveling 1-50,110-115,0,,110-115,0,,110-115,1.25,6.25
45.0,1.5,,53.50772889,Server Name:  Oceana,115-120,0,,115-120,0,,115-120,1.25,6.25
55.0,2.0,,65.39833532,Primary Weapon: Fire Staff,120-125,0,,120-125,0,,120-125,1.25,6.25
60.0,2.0,,71.34363853,Secondary Weapon: Life Staff,125-130,0,,125-130,0,,125-130,1.25,6.25
,,,,Character Name:  Bob,140-145,0,,140-145,0,,140-145,1.25,6.25
85.0,2.0,Requires Character Level 60,101.0701546,,185-190,0,,185-190,0,,185-190,2,10.0
10.0,0.1,Requires Character Level 10,11.89060642,,195-200,0,,195-200,0,,195-200,2,10.0
15.0,0.2,Requires Character Level 20,17.83590963,,,,344.0,,,85.0,,,209.55
20.0,0.7,Requires Character Level 40,23.78121284,,,,,,,,,,
209.55,,,249.1676576,,3,2,,3,5,,3,0.4,
19.55,,,23.24613555,,5,4,,5,10,,5,0.8,
37.5,,,44.58977408,,6,6,,6,13,,6,1.05,
62.5,,,74.31629013,,7,8,,7,16,,7,1.3,
90.0,,,107.0154578,,8,10,,8,19,,8,1.55,
80.0,,Requires Character Level 60,95.12485137,,14,26,,14,41,,14,3.05,
145.0,,Requires Character Level 60,172.4137931,,15,29,,15,45,,15,3.3,
