Site$,Time,Required,PA$,Game Name,Per Level,Per Range,Ranked Boosting,Per Div,Per Point,RP,Unnamed: 21
50.0,2.0,,59.52380952,Game: Overwatch,0,,Silver 1625-1750,10,0.08,1625,125
,,,,Role:,0,,Gold 2000-2125,10,0.08,2000,125
,,,,Login: ,0,,Gold 2125-2250,10,0.08,2125,125
,,,,Password: ,0,,Gold 2250-2375,10,0.08,2250,125
3.0,0.25,,3.571428571,Account Name:,0,,Gold 2375-2500,10,0.08,2375,125
4.0,0.25,,4.761904762,,0,,Platinum 2625-2750,20,0.16,2625,125
7.0,0.25,,8.333333333,,0,,Platinum 2875-3000,20,0.16,2875,125
,,,,Game: Overwatch,0,,Diamond 3000-3125,25,0.2,3000,125
,,,,Role: Tank,0,,Diamond 3375-3500,25,0.2,3375,625
8.0,0.25,,9.523809524,,0,,Grandmaster 4000,539.995,,4000,
9.0,0.25,,10.71428571,,0,,,,,,
19.99875,0.25,,23.80803571,,0,,,,,,
19.99875,0.25,,23.80803571,,0,,1,0.05333,6.61292,0.05333,0.0666625
10.0,0.25,,11.9047619,,0,,125,0.05333,6.66625,6.66625,8.3328125
10.0,0.25,,11.9047619,,0,,250,0.05333,6.66625,13.3325,16.665625
10.0,0.25,,11.9047619,,0,,375,0.05333,6.66625,19.99875,24.9984375
10.0,0.25,,11.9047619,,0,,500,0.05333,6.66625,26.665,33.33125
10.0,0.25,,11.9047619,,,0.0,625,0.05333,6.66625,33.33125,41.6640625
10.0,0.25,,11.9047619,,,,750,0.05333,6.66625,39.9975,49.996875
10.0,0.25,,11.9047619,,1,,875,0.05333,6.66625,46.66375,58.3296875
10.0,0.25,,11.9047619,,60,,1000,0.05333,6.66625,53.33,66.6625
20.0,0.25,,23.80952381,,0,,1125,0.05333,6.66625,59.99625,74.9953125
20.0,0.25,,23.80952381,,0,,1250,0.05333,6.66625,66.6625,83.328125
20.0,0.25,,23.80952381,,,,1375,0.05333,6.66625,73.32875,91.6609375
20.0,0.25,,23.80952381,,200,,1500,0.08,10,79.995,99.99375
25.0,0.5,,29.76190476,,250,,1625,0.08,10,89.995,112.49375
25.0,0.5,,29.76190476,,,,1750,0.08,10,99.995,124.99375
25.0,0.5,,29.76190476,,,,1875,0.08,10,109.995,137.49375
25.0,0.5,,29.76190476,,Cumulative,,2000,0.08,10,119.995,149.99375
50.0,1.0,,59.52380952,,0,,2125,0.08,10,129.995,162.49375
50.0,1.0,,59.52380952,,,,2250,0.08,10,139.995,174.99375
50.0,1.0,,59.52380952,,,,2375,0.08,10,149.995,187.49375
50.0,1.0,,59.52380952,,,,2500,0.16,20,159.995,199.99375
24.9984375,0.25,,29.76004464,,,,3250,0.2,25,289.995,362.49375
24.9984375,0.25,,29.76004464,,,,3375,0.2,25,314.995,393.74375
24.9984375,0.25,,29.76004464,,,,3500,0.4,50,339.995,424.99375
24.9984375,0.25,,29.76004464,,,,3625,0.4,50,389.995,487.49375
12.5,0.25,,14.88095238,,,,3750,0.4,50,439.995,549.99375
12.5,0.25,,14.88095238,,,,3875,0.4,50,489.995,612.49375
12.5,0.25,,14.88095238,,,,4000,,,539.995,674.99375
12.5,0.25,,14.88095238,,,,,,,,
12.5,0.25,,14.88095238,,,,,,,,
12.5,0.25,,14.88095238,,,,,,,,
12.5,0.25,,14.88095238,,,,,,,,
12.5,0.25,,14.88095238,,,,1,2000,2000,,
25.0,0.25,,29.76190476,,,,2,3500,5500,,
25.0,0.25,,29.76190476,,,,3,5000,10500,,
25.0,0.25,,29.76190476,,,,4,6500,17000,,
25.0,0.25,,29.76190476,,,,5,7500,24500,,
31.25,0.5,,37.20238095,,,,6,8500,33000,,
31.25,0.5,,37.20238095,,,,7,9500,42500,,
31.25,0.5,,37.20238095,,,,8,10500,53000,,
31.25,0.5,,37.20238095,,,,9,11500,64500,,
62.5,1.0,,74.4047619,,,,10,12500,77000,,
62.5,1.0,,74.4047619,,,,11,13500,90500,,
62.5,1.0,,74.4047619,,,,12,14500,105000,,
62.5,1.0,,74.4047619,,,,13,15000,120000,,
