Site$,Time,PA$,Game Name,Level,Per Level,Per Range,Rank,Division,Win
15.0,0.25,17.83590963,Game: Valorant,25-30,2,10.0,Bronze III,18,7
15.0,0.25,17.83590963,Region (NA/EU/OCE/SEA):,30-35,2,10.0,Silver I,20,8
15.0,0.25,17.83590963,Game Mode: Solo (Piloted),35-40,3,15.0,Silver II,25,8
20.0,0.25,23.78121284,Display Name: ,55-60,2,10.0,Gold III,30,10
25.0,0.25,29.72651605,,65-70,2,10.0,Platinum II,35,13
30.0,0.25,35.67181926,,75-80,2,10.0,Diamond I,50,25
30.0,0.25,35.67181926,Game: Valorant,80-85,3,15.0,Diamond II,65,25
35.0,1.0,41.61712247,Region (NA/EU/OCE/SEA):NA,85-90,3,15.0,Diamond III,85,25
35.0,1.0,41.61712247,Game Mode: Solo (Piloted),90-95,3,15.0,Ascendant I,100,42
115.0,2.0,136.7419738,,120-125,4,20.0,Radiant,2411,
130.0,2.0,154.5778835,,125-130,4,20.0,,,
200.0,2.0,237.8121284,,130-135,4,20.0,,,
1100.0,10.0,1307.966706,,140-145,5,25.0,,,
7.0,2.0,8.323424495,,175-180,,,Iron II,15,15
7.0,2.0,8.323424495,,180-185,,,Iron III,15,30
7.0,2.0,8.323424495,,185-190,,,Bronze I,15,45
7.0,2.0,8.323424495,,190-195,,,Bronze II,18,60
7.0,2.0,8.323424495,,195-200,,,Bronze III,18,78
7.0,2.0,8.323424495,,,,498.0,Silver I,20,96
8.0,2.0,9.512485137,,,,,Silver II,25,116
8.0,2.0,9.512485137,,Current,25,,Silver III,25,141
8.0,2.0,9.512485137,,Desired,80,,Gold I,30,166
10.0,2.0,11.89060642,,Site,155,,Gold II,30,196
10.0,2.0,11.89060642,,0.159,185,,Gold III,30,226
10.0,2.0,11.89060642,,0.841,,,Platinum I,35,256
13.0,2.0,15.45778835,,Markup,200,,Platinum II,35,291
13.0,2.0,15.45778835,,0.2,250,,Platinum III,40,326
13.0,2.0,15.45778835,,,,,Diamond I,50,366
25.0,2.0,29.72651605,,,,,Diamond II,65,416
25.0,5.0,29.72651605,,Level,Cumulative,,Diamond III,85,481
25.0,5.0,29.72651605,,1,0,,Ascendant I,100,566
42.0,5.0,49.94054697,,2,2,,Ascendant II,115,666
45.0,5.0,53.50772889,,3,4,,Ascendant III,130,781
48.0,5.0,57.07491082,,4,6,,Immortal I,200,911
55.0,5.0,65.39833532,,5,8,,Immortal II,200,1111
60.0,5.0,71.34363853,,6,10,,Immortal III,1100,1311
60.0,5.0,71.34363853,,7,12,,Radiant,,2411
7.0,,8.323424495,,15,28,,,,
7.0,,8.323424495,,16,30,,,,
7.0,,8.323424495,,17,32,,,,
7.0,,8.323424495,,18,34,,,,
7.0,,8.323424495,,19,36,,,,
10.0,,11.89060642,,20,38,,,,
12.0,,14.26872771,,21,40,,,,
15.0,,17.83590963,,22,42,,,,
18.0,,21.40309156,,23,44,,,,
25.0,0.25,29.72651605,,29,56,,,,
25.0,0.25,29.72651605,,30,58,,,,
25.0,0.5,29.72651605,,31,60,,,,
25.0,0.5,29.72651605,,32,62,,,,
25.0,0.5,29.72651605,,33,64,,,,
25.0,0.5,29.72651605,,34,66,,,,
35.0,0.5,41.61712247,,35,68,,,,
35.0,0.5,41.61712247,,36,71,,,,
40.0,0.5,47.56242568,,37,74,,,,
45.0,0.5,53.50772889,,38,77,,,,
45.0,1.0,53.50772889,,39,80,,,,
50.0,1.0,59.4530321,,40,83,,,,
50.0,1.0,59.4530321,,41,87,,,,
55.0,1.0,65.39833532,,42,91,,,,
70.0,1.0,83.23424495,,43,95,,,,
80.0,1.0,95.12485137,,44,99,,,,
90.0,1.0,107.0154578,,45,103,,,,
150.0,1.0,178.3590963,,46,108,,,,
170.0,2.0,202.1403092,,47,113,,,,
210.0,2.0,249.7027348,,48,118,,,,
230.0,2.0,273.4839477,,49,123,,,,
420.0,2.0,499.4054697,,50,128,,,,
550.0,4.0,653.9833532,,51,133,,,,
