PA$,Time,Required,Site$,Game Name,Level,Per Level,Per Range,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
527.9429251,17.16,,444.0,Game: World of Warcraft Classic,25-30,2,10.0,0,,25-30,0,
343.6385256,11.16,,289.0,Region (US/EU/OCE): ,30-35,2,10.0,0,,30-35,0,
206.8965517,6.16,,174.0,Service: ,35-40,2.5,12.5,0,,35-40,0,
136.7419738,5,,115.0,Server Name: ,40-45,2.5,12.5,0,,40-45,0,
155.7669441,5.75,,131.0,Type (PVE/PVP): ,45-50,5,25.0,0,,45-50,0,
184.3043995,6,,155.0,Faction (A/H): ,50-55,6,30.0,0,,50-55,0,
,,,,Class: ,55-60,8,40.0,0,,55-60,0,
,,,,Battle.net Login: ,60-65,10,50.0,0,,60-65,0,
,,,,Battle.net Password: ,65-70,13,65.0,0,,65-70,0,
4.756242568,0.25,,4.0,Account Name: ,70-75,14,70.0,0,,70-75,0,
5.94530321,0.25,,5.0,Character Name: ,75-80,17,85.0,0,,75-80,0,
8.917954816,0.25,,7.5,,85-90,0,,0,,85-90,0,
11.89060642,0.25,,10.0,,90-95,0,,0,,90-95,0,
11.89060642,0.33,,10.0,,100-105,0,,0,,100-105,0,
14.86325803,0.33,,12.5,Game: World of Warcraft Classic,105-110,0,,0,,105-110,0,
14.86325803,0.5,,12.5,Region (US/EU/OCE): US,110-115,0,,0,,110-115,0,
29.72651605,1,,25.0,Service: Leveling 20-60,115-120,0,,0,,115-120,0,
35.67181926,1,,30.0,Server Name: Medivh,120-125,0,,0,,120-125,0,
47.56242568,1.5,,40.0,Type (PVE/PVP): PVE,125-130,0,,0,,125-130,0,
59.4530321,2,,50.0,Faction (A/H): Horde,130-135,0,,0,,130-135,0,
77.28894174,3,,65.0,Class: Mage,135-140,0,,0,,135-140,0,
,,,,Account Name: WOW2,150-155,0,,0,,150-155,0,
35.67181926,1,Required: L55+,30.0,,180-185,0,,0,,180-185,0,
59.4530321,2,Required: L55+ & Mount,50.0,WOTLK,,,444.0,,0.0,,,0.0
59.4530321,2,Required: L55+ & Mount,50.0,,Desired,70,,200,,Desired,200,
47.56242568,2,Required: L55+ & Mount,40.0,,2,1,,,,2,,
47.56242568,2,Required: L55+ & Mount + TBC,40.0,,3,2,,,,3,,
,,,,Professions,4,3,,,,4,,
47.56242568,2,Required: L55+ & Mount,40.0,,5,4,,,,5,,
47.56242568,2,Required: L55+ & Mount + TBC,40.0,L15+ 01 to 50 skill,6,5,,,,6,,
,,,,L25+ 51 to 70 skill,7,6,,,,7,,
89.17954816,2,Required: L55+ & Mount,75.0,L30+ 71 to 100 skill,8,7,,,,8,,
166.4684899,2,Required: L55+ & Mount + TBC,140.0,L35+ 101 to 115 skill,9,8,,,,9,,
,,,,L40+ 116 to 125 skill,10,9,,,,10,,
89.17954816,2,Required: L55+ & Mount,75.0,L45+ 126 to 185 skill,11,10.5,,,,11,,
166.4684899,2,Required: L55+ & Mount + TBC,140.0,L50+ 186 to 205 skill,12,12,,,,12,,
,,,,L55+ 206 to 300 skill,13,13.5,,,,13,,
89.17954816,2,Required: L55+ & Mount,75.0,,14,15,,,,14,,
166.4684899,2,Required: L55+ & Mount + TBC,140.0,,15,16.5,,,,15,,
89.17954816,2,Required: L55+ & Mount,75.0,,17,19.5,,,,17,,
166.4684899,2,Required: L55+ & Mount + TBC,140.0,,18,21,,,,18,,
89.17954816,2,Required: L55+ & Mount,75.0,,20,24,,,,20,,
166.4684899,2,Required: L55+ & Mount + TBC,140.0,,21,26,,,,21,,
89.17954816,2,Required: L55+ & Mount,75.0,,23,30,,,,23,,
166.4684899,2,Required: L55+ & Mount + TBC,140.0,,24,32,,,,24,,
89.17954816,2,Required: L55+ & Mount,75.0,,26,36,,,,26,,
166.4684899,2,Required: L55+ & Mount + TBC,140.0,,27,38,,,,27,,
35.67181926,2.5,Required: L55+ & Mount,30.0,,33,50,,,,33,,
35.67181926,2.5,Required: L55+ & Mount,30.0,,34,52,,,,34,,
65.39833532,5,Required: L55+ & Mount,55.0,,35,54,,,,35,,
142.6872771,2,Required: L60,120.0,,37,59,,,,37,,
41.61712247,2,,35.0,,38,61.5,,,,38,,
118.9060642,2,Required: Quest active,100.0,,40,66.5,,,,40,,
237.8121284,RNG,Required: L60,200.0,,41,69,,,,41,,
297.2651605,,Required: L60,250.0,,47,89,,,,47,,
297.2651605,,Required: L60,250.0,,48,94,,,,48,,
356.7181926,,Required: L60,300.0,,49,99,,,,49,,
297.2651605,,Required: L60,250.0,,50,104,,,,50,,
237.8121284,,Required: L60,200.0,,51,110,,,,51,,
356.7181926,,Required: L60,300.0,,52,116,,,,52,,
416.1712247,,Required: L60,350.0,,53,122,,,,53,,
475.6242568,,Required: L60,400.0,,54,128,,,,54,,
237.8121284,,Required: L60,200.0,,55,134,,,,55,,
356.7181926,,Required: L60,300.0,,56,142,,,,56,,
