PA$,Time,Required,Site$,Game Name,Level,Per Level,Per Range,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
218.7871581,17.0,,184.0,Game: World of Warcraft Classic Vanilla,25-30,2,10.0,0,,25-30,0,
130.7966706,9.0,,110.0,Region (US/EU/OCE): ,30-35,3,15.0,0,,30-35,0,
87.99048751,8.0,,74.0,Service: ,35-40,3,15.0,0,,35-40,0,
,,,,Server Name: ,40-45,3,15.0,0,,40-45,0,
,,,,Type (PVE/PVP): ,45-50,5,25.0,0,,45-50,0,
,,,,Faction (A/H): ,50-55,6,30.0,0,,50-55,0,
4.756242568,1.0,,4.0,Class: ,55-60,8,40.0,0,,55-60,0,
5.94530321,1.0,,5.0,Battle.net Login: ,60-65,0,0.0,0,,60-65,0,
8.917954816,1.0,,7.5,Battle.net Password: ,65-70,0,0.0,0,,65-70,0,
8.917954816,1.0,,7.5,Account Name: ,70-75,0,0.0,0,,70-75,0,
11.89060642,1.0,,10.0,Character Name: ,75-80,0,0.0,0,,75-80,0,
17.83590963,1.0,,15.0,,85-90,0,,0,,85-90,0,
17.83590963,1.0,,15.0,,90-95,0,,0,,90-95,0,
29.72651605,2.0,,25.0,,100-105,0,,0,,100-105,0,
35.67181926,2.0,,30.0,Game: World of Warcraft Classic Vanilla,105-110,0,,0,,105-110,0,
47.56242568,3.0,,40.0,Region (US/EU/OCE): US,110-115,0,,0,,110-115,0,
,,,,Service: Leveling 20-60,115-120,0,,0,,115-120,0,
,,,,Server Name: Medivh,120-125,0,,0,,120-125,0,
,,,,Type (PVE/PVP): PVE,125-130,0,,0,,125-130,0,
,,,,Faction (A/H): Horde,130-135,0,,0,,130-135,0,
,,,,Class: Mage,135-140,0,,0,,135-140,0,
,,,,Account Name: WOW2,150-155,0,,0,,150-155,0,
59.4530321,2.0,Required: L55+ & Mount,50.0,,165-170,0,,0,,165-170,0,
59.4530321,2.0,Required: L55+ & Mount,50.0,,180-185,0,,0,,180-185,0,
,,,,WOTLK,,,184.0,,0.0,,,0.0
47.56242568,2.0,Required: L55+ & Mount,40.0,,Current,27,,1,,Current,1,
89.17954816,2.0,Required: L55+ & Mount,75.0,,0.2,287.5,,250,,0.2,250,
89.17954816,2.0,Required: L55+ & Mount,75.0,,,,,,,,,
89.17954816,2.0,Required: L55+ & Mount,75.0,,1,0,,0,,1,0,
89.17954816,2.0,Required: L55+ & Mount,75.0,,3,2,,,,3,,
,,,,Professions,4,3,,,,4,,
89.17954816,2.0,Required: L55+ & Mount,75.0,,5,4,,,,5,,
,,,,L15+ 01 to 50 skill,6,5,,,,6,,
89.17954816,2.0,Required: L55+ & Mount,75.0,L25+ 51 to 70 skill,7,6,,,,7,,
,,,,L30+ 71 to 100 skill,8,7,,,,8,,
,,,,L35+ 101 to 115 skill,9,8,,,,9,,
,,,,L40+ 116 to 125 skill,10,9,,,,10,,
,,,,L45+ 126 to 185 skill,11,10.5,,,,11,,
,,,,L50+ 186 to 205 skill,12,12,,,,12,,
,,,,L55+ 206 to 300 skill,13,13.5,,,,13,,
