PA$,Time,Required,Site$,Game Name,Level,Per Level,Per Range,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
575.5053508,17.16,,484.0,Game: World of Warcraft Classic WOTLK,25-30,2,10.0,0,,25-30,0,
343.6385256,11.16,,289.0,Region (US/EU/OCE): ,30-35,2,10.0,0,,30-35,0,
206.8965517,6.16,,174.0,Service: ,35-40,2.5,12.5,0,,35-40,0,
136.7419738,5.0,,115.0,Server Name: ,40-45,2.5,12.5,0,,40-45,0,
155.7669441,5.75,,131.0,Type (PVE/PVP): ,45-50,5,25.0,0,,45-50,0,
231.8668252,6.0,,195.0,Faction (A/H): ,50-55,6,30.0,0,,50-55,0,
,,,,Class: ,55-60,8,40.0,0,,55-60,0,
,,,,Battle.net Login: ,60-65,10,50.0,0,,60-65,0,
,,,,Battle.net Password: ,65-70,13,65.0,0,,65-70,0,
4.756242568,0.25,,4.0,Account Name: ,70-75,17,85.0,0,,70-75,0,
5.94530321,0.25,,5.0,Character Name: ,75-80,22,110.0,0,,75-80,0,
8.917954816,0.25,,7.5,,85-90,0,,0,,85-90,0,
11.89060642,0.25,,10.0,,90-95,0,,0,,90-95,0,
11.89060642,0.33,,10.0,,100-105,0,,0,,100-105,0,
14.86325803,0.33,,12.5,Game: World of Warcraft Classic WOTLK,105-110,0,,0,,105-110,0,
14.86325803,0.5,,12.5,Region (US/EU/OCE): US,110-115,0,,0,,110-115,0,
29.72651605,1.0,,25.0,Service: Leveling 20-60,115-120,0,,0,,115-120,0,
35.67181926,1.0,,30.0,Server Name: Medivh,120-125,0,,0,,120-125,0,
47.56242568,1.5,,40.0,Type (PVE/PVP): PVE,125-130,0,,0,,125-130,0,
59.4530321,2.0,,50.0,Faction (A/H): Horde,130-135,0,,0,,130-135,0,
77.28894174,3.0,,65.0,Class: Mage,135-140,0,,0,,135-140,0,
,,,,Account Name: WOW2,150-155,0,,0,,150-155,0,
237.8121284,5.0,Required: Level 80,200.0,,180-185,0,,0,,180-185,0,
118.9060642,3.0,Required: Level 80,100.0,,185-190,0,,0,,185-190,0,
237.8121284,5.0,Required: Level 80,200.0,,195-200,0,,0,,195-200,0,
118.9060642,3.0,Required: Level 80,100.0,WOTLK,,,484.0,,0.0,,,0.0
237.8121284,5.0,Required: Level 80,200.0,,Current,8,,1,,Current,1,
118.9060642,3.0,Required: Level 80,100.0,,Desired,19,,200,,Desired,200,
356.7181926,5.0,Required: Level 80,300.0,,1,0,,0,,1,0,
190.2497027,3.0,Required: Level 80,160.0,,2,1,,,,2,,
261.5933413,5.0,Required: Level 80,220.0,Professions,4,3,,,,4,,
130.7966706,3.0,Required: Level 80,110.0,,5,4,,,,5,,
,,,,L15+ 01 to 50 skill,6,5,,,,6,,
356.7181926,5.0,Required: Level 80,300.0,L25+ 51 to 70 skill,7,6,,,,7,,
190.2497027,3.0,Required: Level 80,160.0,L30+ 71 to 100 skill,8,7,,,,8,,
,,,,L35+ 101 to 115 skill,9,8,,,,9,,
380.4994055,5.0,Required: Level 80,320.0,L40+ 116 to 125 skill,10,9,,,,10,,
190.2497027,3.0,Required: Level 80,160.0,L45+ 126 to 185 skill,11,10.5,,,,11,,
,,,,L50+ 186 to 205 skill,12,12,,,,12,,
356.7181926,5.0,Required: Level 80,300.0,L55+ 206 to 300 skill,13,13.5,,,,13,,
190.2497027,3.0,Required: Level 80,160.0,,14,15,,,,14,,
356.7181926,5.0,Required: Level 80,300.0,,16,18,,,,16,,
190.2497027,3.0,Required: Level 80,160.0,,17,19.5,,,,17,,
356.7181926,5.0,Required: Level 80,300.0,,19,22.5,,,,19,,
190.2497027,3.0,Required: Level 80,160.0,,20,24,,,,20,,
356.7181926,5.0,Required: Level 80,300.0,,22,28,,,,22,,
190.2497027,3.0,Required: Level 80,160.0,,23,30,,,,23,,
463.7336504,14.0,Required: Level 80,390.0,,29,42,,,,29,,
1307.966706,14.0,Required: Level 80,1100.0,,30,44,,,,30,,
1307.966706,40.0,Required: Level 80,1100.0,,31,46,,,,31,,
