Site$,Time,Required,PA$,Game Name,Level,Per Level,Per Range,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
59.0,10,,70.15457788,Game: World of Warcraft Live,25-30,1,5.0,0,,25-30,0,
79.0,16,,93.93579073,Region (US/EU/OCE): ,30-35,1,5.0,0,,30-35,0,
20.0,6,,23.78121284,Service: ,35-40,1,5.0,0,,35-40,0,
10.0,3,,11.89060642,Server Name: ,40-45,2,10.0,0,,40-45,0,
18.0,-1,,21.40309156,Type (PVE/PVP): ,45-50,2,10.0,0,,45-50,0,
,,,,Faction (A/H): ,50-55,2,10.0,0,,50-55,0,
4.0,1,,4.756242568,Class: ,55-60,2,10.0,0,,55-60,0,
5.0,1,,5.94530321,Covenant: ,60-65,3,15.0,0,,60-65,0,
5.0,1,,5.94530321,Battle.net Login: ,65-70,4,20.0,0,,65-70,0,
5.0,1,,5.94530321,Battle.net Password: ,70-75,0,,0,,70-75,0,
5.0,1,,5.94530321,Account Name: ,75-80,0,,0,,75-80,0,
5.0,1,,5.94530321,Character Name: ,80-85,0,,0,,80-85,0,
5.0,1,,5.94530321,,90-95,0,,0,,90-95,0,
10.0,1,,11.89060642,,100-105,0,,0,,100-105,0,
10.0,3,,11.89060642,Game: World of Warcraft Live,105-110,0,,0,,105-110,0,
10.0,3,,11.89060642,Region (US/EU/OCE): US,110-115,0,,0,,110-115,0,
15.0,7,,17.83590963,Service: Leveling 20-60,115-120,0,,0,,115-120,0,
20.0,7,,23.78121284,Server Name: Medivh,120-125,0,,0,,120-125,0,
,,,,Type (PVE/PVP): PVE,125-130,0,,0,,125-130,0,
,,,,Faction (A/H): Horde,130-135,0,,0,,130-135,0,
,,,,Class: Mage,135-140,0,,0,,135-140,0,
,,,,Covenant: Venthyr,140-145,0,,0,,140-145,0,
45.0,4,Requires: Level 60,53.50772889,Account Name: WOW2,155-160,0,,0,,155-160,0,
70.0,4,Requires: Level 60,83.23424495,,175-180,0,,0,,175-180,0,
80.0,4,Requires: Level 60,95.12485137,,180-185,0,,0,,180-185,0,
130.0,4,Requires: Level 60,154.5778835,,195-200,0,,0,,195-200,0,
30.0,4,Requires: Level 60,35.67181926,,Site,8,,0,,Site,0,
30.0,4,Requires: Level 60,35.67181926,,0.159,10,,0,,0.159,0,
30.0,4,Requires: Level 60,35.67181926,,0.841,,,,,,,
30.0,4,Requires: Level 60,35.67181926,,Markup,200,,200,,Markup,200,
30.0,4,Requires: Level 60,35.67181926,Professions,0.2,250,,250,,0.2,250,
30.0,4,Requires: Level 60,35.67181926,,,,,,,,,
30.0,4,Requires: Level 60,35.67181926,L15+ 01 to 50 skill,,,,,,,,
,,,,L25+ 51 to 70 skill,Level,Cumulative,,Cumulative,,xxx,Cumulative,
80.0,24,Requires: Level 60,95.12485137,L30+ 71 to 100 skill,1,0,,0,,1,0,
,,,,L35+ 101 to 115 skill,2,1,,,,2,,
20.0,2,Requires: Level 60,23.78121284,L40+ 116 to 125 skill,3,2,,,,3,,
20.0,2,Requires: Level 60,23.78121284,L45+ 126 to 185 skill,4,3,,,,4,,
20.0,2,Requires: Level 60,23.78121284,L50+ 186 to 205 skill,5,4,,,,5,,
20.0,2,Requires: Level 60,23.78121284,L55+ 206 to 300 skill,6,5,,,,6,,
20.0,2,Requires: Level 60,23.78121284,,7,6,,,,7,,
20.0,2,Requires: Level 60,23.78121284,,8,7,,,,8,,
20.0,2,Requires: Level 60,23.78121284,,9,8,,,,9,,
20.0,2,Requires: Level 60,23.78121284,,10,9,,,,10,,
60.0,24,Requires: Level 60,71.34363853,,12,11,,,,12,,
15.0,2,Requires: Level 60,17.83590963,,14,13,,,,14,,
15.0,2,Requires: Level 60,17.83590963,,15,14,,,,15,,
15.0,2,Requires: Level 60,17.83590963,,16,15,,,,16,,
15.0,2,Requires: Level 60,17.83590963,,17,16,,,,17,,
15.0,2,Requires: Level 60,17.83590963,,18,17,,,,18,,
15.0,2,Requires: Level 60,17.83590963,,19,18,,,,19,,
15.0,2,Requires: Level 60,17.83590963,,20,19,,,,20,,
15.0,2,Requires: Level 60,17.83590963,,21,20,,,,21,,
350.0,Time Varies,Requires: Level 60,416.1712247,,25,24,,,,25,,
130.0,Time Varies,Requires: Level 60,154.5778835,,26,25,,,,26,,
400.0,120,Requires: Level 60,475.6242568,,32,31,,,,32,,
700.0,150,Requires: Level 60,832.3424495,,36,35,,,,36,,
1000.0,2 Weeks,Requires: Level 60,1189.060642,,42,43,,,,42,,
400.0,2 Weeks,Requires: Level 60,475.6242568,,43,45,,,,43,,
13.0,24,"Requires: L60 ilvl 150, Maw and Torghast unlocked",15.45778835,,49,57,,,,49,,
16.0,24,"Requires: L60 ilvl 150, Maw and Torghast unlocked",19.02497027,,50,59,,,,50,,
20.0,24,"Requires: L60 ilvl 160, Maw and Torghast unlocked",23.78121284,,51,61,,,,51,,
30.0,24,"Requires: L60 ilvl 190, Maw and Torghast unlocked",35.67181926,,52,63,,,,52,,
35.0,24,"Requires: L60 ilvl 190, Maw and Torghast unlocked",41.61712247,,53,65,,,,53,,
42.0,24,"Requires: L60 ilvl 190, Maw and Torghast unlocked",49.94054697,,54,67,,,,54,,
280.0,1 Week,,332.9369798,,55,69,,,,55,,
55.0,24,"Requires: L60, Location story Completed, Covenant selected",65.39833532,,61,82,,,,61,,
130.0,72,"Requires: L60, Location story Completed, Covenant selected",154.5778835,,62,85,,,,62,,
180.0,1 Week,"Requires: L60, Location story Completed, Covenant selected",214.0309156,,63,88,,,,63,,
250.0,1 Week,"Requires: L60, Location story Completed, Covenant selected",297.2651605,,64,91,,,,64,,
