Site$,Time,Required,PA$,Game Name,Level,Per Level,Per Range,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
248.0,12.6,,294.8870392,Game: World of Warcraft Season of Mastery,25-30,3,15.0,0,,25-30,0,
,,,,Region (US/EU/OCE): ,30-35,4,20.0,0,,30-35,0,
,,,,Service: ,35-40,4,20.0,0,,35-40,0,
,,,,Server Name: ,40-45,4,20.0,0,,40-45,0,
8.0,0.25,,9.512485137,Type (PVE/PVP): ,45-50,6,30.0,0,,45-50,0,
10.0,0.25,,11.89060642,Faction (A/H): ,50-55,8,40.0,0,,50-55,0,
10.0,0.3,,11.89060642,Class: ,55-60,10,50.0,0,,55-60,0,
10.0,0.3,,11.89060642,Battle.net Login: ,60-65,0,,0,,60-65,0,
15.0,0.8,,17.83590963,Battle.net Password: ,65-70,0,,0,,65-70,0,
15.0,0.8,,17.83590963,Account Name: ,70-75,0,,0,,70-75,0,
20.0,1.2,,23.78121284,Character Name: ,75-80,0,,0,,75-80,0,
20.0,1.5,,23.78121284,,85-90,0,,0,,85-90,0,
40.0,2,,47.56242568,,95-100,0,,0,,95-100,0,
50.0,2,,59.4530321,Game: World of Warcraft Season of Mastery,100-105,0,,0,,100-105,0,
,,,,Region (US/EU/OCE): US,105-110,0,,0,,105-110,0,
,,,,Service: Leveling 20-60,110-115,0,,0,,110-115,0,
,,,,Server Name: Medivh,115-120,0,,0,,115-120,0,
,,,,Type (PVE/PVP): PVE,120-125,0,,0,,120-125,0,
,,,,Faction (A/H): Horde,125-130,0,,0,,125-130,0,
30.0,1,Required: L55+,35.67181926,Class: Mage,130-135,0,,0,,130-135,0,
50.0,2,Required: L55+ & Mount,59.4530321,Account Name: WOW2,145-150,0,,0,,145-150,0,
75.0,2,Required: L55+ & Mount,89.17954816,,,,248.0,,0.0,,,0.0
75.0,2,Required: L55+ & Mount,89.17954816,,,,,,,,,
75.0,2,Required: L55+ & Mount,89.17954816,,Current,1,,1,,Current,1,
75.0,2,Required: L55+ & Mount,89.17954816,,Desired,34,,200,,Desired,200,
75.0,2,Required: L55+ & Mount,89.17954816,,Site,84,,0,,Site,0,
75.0,2,Required: L55+ & Mount,89.17954816,Professions,0.159,100,,0,,0.159,0,
,,,,L15+ 01 to 50 skill,Markup,200,,200,,Markup,200,
,,,,L25+ 51 to 70 skill,0.2,250,,250,,0.2,250,
,,,,L30+ 71 to 100 skill,,,,,,,,
,,,,L35+ 101 to 115 skill,,,,,,,,
30.0,2.5,Required: L55+ & Mount,35.67181926,L40+ 116 to 125 skill,Level,Cumulative,,Cumulative,,xxx,Cumulative,
