 table_schema |          table_name           |       column_name        |          data_type          | is_nullable | column_default 
--------------+-------------------------------+--------------------------+-----------------------------+-------------+----------------
 public       | branch_locations              | id                       | uuid                        | NO          | 
 public       | branch_locations              | name                     | character varying           | NO          | 
 public       | branch_locations              | address                  | character varying           | YES         | 
 public       | branch_locations              | phone                    | character varying           | YES         | 
 public       | branch_locations              | code                     | character varying           | NO          | 
 public       | branch_locations              | active                   | boolean                     | NO          | true
 public       | branch_locations              | created_at               | timestamp without time zone | NO          | now()
 public       | branch_locations              | updated_at               | timestamp without time zone | YES         | 
 public       | client_communication_channels | client_id                | uuid                        | NO          | 
 public       | client_communication_channels | channel                  | character varying           | NO          | 
 public       | clients                       | id                       | uuid                        | NO          | 
 public       | clients                       | first_name               | character varying           | NO          | 
 public       | clients                       | last_name                | character varying           | NO          | 
 public       | clients                       | phone                    | character varying           | NO          | 
 public       | clients                       | email                    | character varying           | YES         | 
 public       | clients                       | address                  | character varying           | YES         | 
 public       | clients                       | source                   | character varying           | NO          | 
 public       | clients                       | source_details           | character varying           | YES         | 
 public       | clients                       | created_at               | timestamp without time zone | NO          | now()
 public       | clients                       | updated_at               | timestamp without time zone | NO          | now()
 public       | clients                       | deleted                  | boolean                     | NO          | false
 public       | databasechangelog             | id                       | character varying           | NO          | 
 public       | databasechangelog             | author                   | character varying           | NO          | 
 public       | databasechangelog             | filename                 | character varying           | NO          | 
 public       | databasechangelog             | dateexecuted             | timestamp without time zone | NO          | 
 public       | databasechangelog             | orderexecuted            | integer                     | NO          | 
 public       | databasechangelog             | exectype                 | character varying           | NO          | 
 public       | databasechangelog             | md5sum                   | character varying           | YES         | 
 public       | databasechangelog             | description              | character varying           | YES         | 
 public       | databasechangelog             | comments                 | character varying           | YES         | 
 public       | databasechangelog             | tag                      | character varying           | YES         | 
 public       | databasechangelog             | liquibase                | character varying           | YES         | 
 public       | databasechangelog             | contexts                 | character varying           | YES         | 
 public       | databasechangelog             | labels                   | character varying           | YES         | 
 public       | databasechangelog             | deployment_id            | character varying           | YES         | 
 public       | databasechangeloglock         | id                       | integer                     | NO          | 
 public       | databasechangeloglock         | locked                   | boolean                     | NO          | 
 public       | databasechangeloglock         | lockgranted              | timestamp without time zone | YES         | 
 public       | databasechangeloglock         | lockedby                 | character varying           | YES         | 
 public       | login                         | id                       | uuid                        | NO          | 
 public       | login                         | user_id                  | uuid                        | NO          | 
 public       | login                         | email                    | character varying           | NO          | 
 public       | login                         | password                 | character varying           | NO          | 
 public       | login                         | email_verified           | timestamp without time zone | YES         | 
 public       | login                         | is_active                | boolean                     | NO          | 
 public       | login                         | created_at               | timestamp without time zone | NO          | now()
 public       | login                         | updated_at               | timestamp without time zone | NO          | now()
 public       | order_item_photos             | id                       | uuid                        | NO          | 
 public       | order_item_photos             | item_id                  | uuid                        | NO          | 
 public       | order_item_photos             | file_path                | character varying           | NO          | 
 public       | order_item_photos             | thumbnail_path           | character varying           | YES         | 
 public       | order_item_photos             | annotations              | text                        | YES         | 
 public       | order_item_photos             | description              | character varying           | YES         | 
 public       | order_item_photos             | created_at               | timestamp without time zone | NO          | 
 public       | order_items                   | id                       | uuid                        | NO          | 
 public       | order_items                   | order_id                 | uuid                        | NO          | 
