Unnamed: 0,Site$,Time,PA$,Game Name,Level,Per Level,Per Range,xxx,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
,,,,,01-05,0.48,1.92,01-05,0,0.0,01-05,0,0.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,0.48,2.4,05-10,0,0.0,05-10,0,0.0
,,,,,10-15,0.48,2.4,10-15,0,,10-15,0,
EQ Live on Bristlebane / Erollisi Marr / Firona Vie,,,,Copy & Paste Like The Example,15-20,0.48,2.4,15-20,0,,15-20,0,
,,,,,20-25,0.48,2.4,20-25,0,,20-25,0,
Leveling: Bristlebane / Erollisi Marr / Firona Vie,,,,Game: EverQuest,25-30,0.48,2.4,25-30,0,,25-30,0,
,,,,Server: ,30-35,0.48,2.4,30-35,0,,30-35,0,
85-90,5.0,1,5.0,Service Requested:,35-40,0.48,2.4,35-40,0,,35-40,0,
90-95,5.0,1,5.0,Account Login: ,40-45,0.48,2.4,40-45,0,,40-45,0,
95-100,10.0,1,15.0,Account Password: ,45-50,0.48,2.4,45-50,0,,45-50,0,
100-105,15.0,1.5,20.0,Character Name: ,50-55,0.48,2.4,50-55,0,,50-55,0,
105-110,20.0,2,25.0,Email for Updates: ,55-60,0.48,2.4,55-60,0,,55-60,0,
110-115,50.0,7,60.0,,60-65,0.48,2.4,60-65,0,,60-65,0,
115-120,75.0,2,85.0,Example,65-70,0.48,2.4,65-70,0,,65-70,0,
120-125,75.0,6,85.0,,70-75,0.48,2.4,70-75,0,,70-75,0,
,,,,Game: EverQuest,75-80,0.48,2.4,75-80,0,,75-80,0,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,Server: Bristlebane,80-85,0.48,2.4,80-85,0,,80-85,0,
,,,,Service Requested: Leveling 85-110,85-90,1,5,85-90,0,,85-90,0,
Alternate Advancement: Bristlebane / Erollisi Marr / Firona Vie,,,,Account Login: exampleLogin,90-95,1,5,90-95,0,,90-95,0,
,,,,Account Password: examplePassword,95-100,2,10,95-100,0,,95-100,0,
"1,000",12.0,1,15.0,Character Name: Example Name,100-105,3,15,100-105,0,,100-105,0,
"10,000",120.0,12,145.0,Email for Updates: example@example.com,105-110,4,20,105-110,0,,105-110,0,
,,,,,110-115,10,50,110-115,0,,110-115,0,
Max AA Reference (L120),,,,,115-120,15,75,115-120,0,,115-120,0,
,,,,,120-125,15,75,120-125,0,,120-125,0,
