Unnamed: 0,Site$,Time,Required,PA$,Game Name,Primary,Per Level,Per Range,Secondary,Per Level.1,Per Range.1,xxx,Per Level.2,Per Range.2
,,,,,,01-05,0.5,2.0,01-05,0.25,1.0,01-05,0,0.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,0.5,2.5,05-10,0.25,1.25,05-10,0,0.0
,,,,,,10-15,0.5,2.5,10-15,0.25,1.25,10-15,0,
Primary Job Leveling,,,,,Copy & Paste Like The Example,15-20,0.5,2.5,15-20,0.25,1.25,15-20,0,
,,,,,,20-25,0.5,2.5,20-25,0.25,1.25,20-25,0,
"Completed: MSQ, Job Quests, & Aether",,,,,Game: Final Fantasy XIV PC,25-30,0.5,2.5,25-30,0.25,1.25,25-30,0,
"Unlocked: Hunts, Teleports, Golden Saucer, PVP",,,,,Service Requested:,30-35,0.5,2.5,30-35,0.25,1.25,30-35,0,
Disciples of War and Magic,,,,,Account Login:,35-40,0.5,2.5,35-40,0.25,1.25,35-40,0,
,,,,,Account Password:,40-45,1,5.0,40-45,0.5,2.5,40-45,0,
80-90,20.0,2,Required: PC License & Endwalker,23.78121284,Region (NA/EU/JP):,45-50,1,5.0,45-50,0.5,2.5,45-50,0,
70-80,20.0,2,Required: PC License & Shadowbringers,23.78121284,Server:,50-55,1,5.0,50-55,0.5,2.5,50-55,0,
60-70,20.0,2,Required: PC License & Stormblood,23.78121284,Job:,55-60,1,5.0,55-60,0.5,2.5,55-60,0,
,,,,,Character Name:,60-65,2,10.0,60-65,1,5.0,60-65,0,
01-90,99.5,11.5,Required: PC License & Endwalker,118.3115339,Email for Updates:,65-70,2,10.0,65-70,1,5.0,65-70,0,
01-80,79.5,9.5,Required: PC License & Shadowbringers,94.53032105,,70-75,2,10.0,70-75,1,5.0,70-75,0,
01-70,59.5,7.5,Required: PC License & Stormblood,70.7491082,Example,75-80,2,10.0,75-80,1,5.0,75-80,0,
01-60,39.5,5.5,Required: PC License & Heavensward,46.96789536,,80-85,2,10.0,80-85,1,5.0,80-85,0,
,,,,,Game: Final Fantasy XIV PC,85-90,2,10.0,85-90,1,5.0,85-90,0,
01-05,2.0,0.125,Required: PC License,2.378121284,Service Requested: Main Leveling 1-70,90-95,4,20.0,90-95,2,10.0,90-95,0,
05-10,2.5,0.125,Required: PC License,2.972651605,Account Login: exampleLogin,95-100,4,20.0,95-100,2,10.0,95-100,0,
10-15,2.5,0.125,Required: PC License,2.972651605,Account Password: examplePassword,100-105,0,,100-105,0,,100-105,0,
15-20,2.5,0.125,Required: PC License,2.972651605,Region (NA/EU/JP): NA,105-110,0,,105-110,0,,105-110,0,
20-25,2.5,0.25,Required: PC License,2.972651605,Server: Excalibur,110-115,0,,110-115,0,,110-115,0,
25-30,2.5,0.25,Required: PC License,2.972651605,Job: Red Mage,115-120,0,,115-120,0,,115-120,0,
30-35,2.5,0.25,Required: PC License,2.972651605,Character Name: Example Name,120-125,0,,120-125,0,,120-125,0,
35-40,2.5,0.25,Required: PC License,2.972651605,Email for Updates: example@example.com,125-130,0,,125-130,0,,125-130,0,
40-45,5.0,1,Required: PC License,5.94530321,,130-135,0,,130-135,0,,130-135,0,
45-50,5.0,1,Required: PC License,5.94530321,,135-140,0,,135-140,0,,135-140,0,
50-55,5.0,1,Required: PC License & Heavensward,5.94530321,,140-145,0,,140-145,0,,140-145,0,
55-60,5.0,1,Required: PC License & Heavensward,5.94530321,,145-150,0,,145-150,0,,145-150,0,
60-65,10.0,1,Required: PC License & Stormblood,11.89060642,,150-155,0,,150-155,0,,150-155,0,
65-70,10.0,1,Required: PC License & Stormblood,11.89060642,,155-160,0,,155-160,0,,155-160,0,
70-75,10.0,1,Required: PC License & Shadowbringers,11.89060642,,160-165,0,,160-165,0,,160-165,0,
75-80,10.0,1,Required: PC License & Shadowbringers,11.89060642,,165-170,0,,165-170,0,,165-170,0,
80-85,10.0,1,Required: PC License & Endwalker,11.89060642,,175-180,0,,175-180,0,,175-180,0,
85-90,10.0,1,Required: PC License & Endwalker,11.89060642,,180-185,0,,180-185,0,,180-185,0,
90-95,20.0,1,Required: PC License & Dawntrail,23.78121284,,185-190,0,,185-190,0,,185-190,0,
95-100,20.0,1,Required: PC License & Dawntrail,23.78121284,,190-195,0,,190-195,0,,190-195,0,
,,,,,,195-200,0,,195-200,0,,195-200,0,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,,,139.5,,,69.75,,,0.0
Secondary Job Leveling,,,,,,Current,80,,Current,13,,Current,1,
,,,,,https://user.playerauctions.com/offerCreation/?offerid=178474128&type=powerleveling&actiontype=copy,Desired,90,,Desired,90,,Desired,200,
Completed: Job Quests,,,,,,Site,20,,Site,46.75,,Site,0,
"Disciples of War, Magic, Hand, & Land",,,,,https://www.epicnpc.com/threads/leveling-1-80-msq-aether-tomes-seals-mounts.611405/,0.159,24,,0.159,56,,0.159,0,
Hand requires Gil for materials,,,,,https://www.ownedcore.com/forums/showthread.php?t=961293&p=4346879#post4346879,0.841,,,0.841,,,0.841,,
,,,,,https://www.elitepvpers.com/forum/final-fantasy-trading/3871604-ogedge-com-ff14-arr-us-eu-character-leveling-1-60-a.html,Markup,500,,Markup,200,,Markup,200,
80-90,10.0,1,Required: PC License & Level 90 Primary Job,11.89060642,https://www.sythe.org/threads/ogedge-com-ffxiv-pc-us-eu-jp-leveling-1-80-tomes-seals-mounts-more/#post-14917494,0.159,594.530321,,0.2,250,,0.2,250,
70-80,10.0,1,Required: PC License & Level 80 Primary Job,11.89060642,,,,,,,,,,
60-70,10.0,1,Required: PC License & Level 70 Primary Job,11.89060642,,,,,,,,,,
,,,,,,Primary,Price,,Secondary,Price,,xxx,Price,
01-90,49.75,4.25,Required: PC License & Level 90 Primary Job,59.15576694,,1,0,,1,0,,1,0,
01-80,39.75,4.75,Required: PC License & Level 80 Primary Job,47.26516052,,2,0.5,,2,0.25,,2,,
01-70,29.75,3.75,Required: PC License & Level 70 Primary Job,35.3745541,,3,1,,3,0.5,,3,,
01-60,19.75,2.75,Required: PC License & Level 60 Primary Job,23.48394768,,4,1.5,,4,0.75,,4,,
,,,,,,5,2,,5,1,,5,,
01-05,1.0,0.0625,Required: PC License,1.189060642,,6,2.5,,6,1.25,,6,,
05-10,1.25,0.0625,Required: PC License,1.486325803,,7,3,,7,1.5,,7,,
10-15,1.25,0.0625,Required: PC License,1.486325803,,8,3.5,,8,1.75,,8,,
15-20,1.25,0.0625,Required: PC License,1.486325803,,9,4,,9,2,,9,,
20-25,1.25,0.125,Required: PC License,1.486325803,,10,4.5,,10,2.25,,10,,
25-30,1.25,0.125,Required: PC License,1.486325803,,11,5,,11,2.5,,11,,
30-35,1.25,0.125,Required: PC License,1.486325803,,12,5.5,,12,2.75,,12,,
35-40,1.25,0.125,Required: PC License,1.486325803,,13,6,,13,3,,13,,
40-45,2.5,0.5,Required: PC License,2.972651605,,14,6.5,,14,3.25,,14,,
45-50,2.5,0.5,Required: PC License,2.972651605,,15,7,,15,3.5,,15,,
50-55,2.5,0.5,Required: PC License & Heavensward,2.972651605,,16,7.5,,16,3.75,,16,,
55-60,2.5,0.5,Required: PC License & Heavensward,2.972651605,,17,8,,17,4,,17,,
60-65,5.0,0.5,Required: PC License & Stormblood,5.94530321,,18,8.5,,18,4.25,,18,,
65-70,5.0,0.5,Required: PC License & Stormblood,5.94530321,,19,9,,19,4.5,,19,,
