Unnamed: 0,Site & PA$,Time,PA$,Game Name,Level,Per Level,Per Range,PVP,Per Level.1,Per Range.1,Map,Per Level.2,Per Range.2
,,,,,01-05,0.5,2.0,01-05,3,12.0,01-05,1,4.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,0.5,2.5,05-10,3,15.0,05-10,1,5.0
,,,,,10-15,0.5,2.5,10-15,3,15.0,10-15,1,5.0
Character Leveling,,,,Copy & Paste Like The Example,15-20,0.5,2.5,15-20,3,15.0,15-20,1,5.0
,,,,,20-25,0.5,2.5,20-25,6,30.0,20-25,1,5.0
01-80,52.0,3.5,52.0,Game: Guild Wars 2,25-30,0.5,2.5,25-30,6,30.0,25-30,1,5.0
,,,,Service: ,30-35,0.5,2.5,30-35,6,30.0,30-35,1,5.0
01-05,2.0,0.1,2.0,Account Login: ,35-40,0.5,2.5,35-40,6,30.0,35-40,1,5.0
05-10,2.5,0.1,2.5,Account Password: ,40-45,0.5,2.5,40-45,9,45.0,40-45,1,5.0
10-15,2.5,0.1,2.5,Region (US/EU): ,45-50,0.5,2.5,45-50,9,45.0,45-50,1,5.0
15-20,2.5,0.1,2.5,Character Name: ,50-55,0.75,3.75,50-55,9,45.0,50-55,1,5.0
20-25,2.5,0.1,2.5,Email for Updates: ,55-60,0.75,3.75,55-60,9,45.0,55-60,1,5.0
25-30,2.5,0.1,2.5,,60-65,1,5.0,60-65,9,45.0,60-65,1,5.0
30-35,2.5,0.1,2.5,Example,65-70,1,5.0,65-70,9,45.0,65-70,1,5.0
35-40,2.5,0.1,2.5,,70-75,1,5.0,70-75,9,45.0,70-75,1,5.0
40-45,2.5,0.1,2.5,Game: Guild Wars 2,75-80,1,5.0,75-80,9,45.0,75-80,1,5.0
45-50,2.5,0.2,2.5,Service: Leveling 1-80,80-85,0,,80-85,9,45.0,80-85,1,5.0
50-55,3.75,0.2,3.75,Account Login: exampleLogin,85-90,0,,85-90,9,45.0,85-90,1,5.0
55-60,3.75,0.2,3.75,Account Password: examplePassword,90-95,0,,90-95,9,45.0,90-95,1,5.0
60-65,5.0,0.5,5.0,Region (US/EU): US,95-100,0,,95-100,9,45.0,95-100,1,5.0
65-70,5.0,0.5,5.0,Character Name: CharName,100-105,0,,100-105,9,45.0,100-105,0,
70-75,5.0,0.5,5.0,Email for Updates: example@example.com,105-110,0,,105-110,9,45.0,105-110,0,
75-80,5.0,0.5,5.0,,110-115,0,,110-115,9,45.0,110-115,0,
,,,,,115-120,0,,115-120,9,45.0,115-120,0,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,120-125,0,,120-125,9,45.0,120-125,0,
,,,,,125-130,0,,125-130,9,45.0,125-130,0,
PVP Rank,,,,,130-135,0,,130-135,9,45.0,130-135,0,
,,,,,135-140,0,,135-140,9,45.0,135-140,0,
01-40,177.0,8,177.0,,140-145,0,,140-145,9,45.0,140-145,0,
,,,,,145-150,0,,145-150,9,45.0,145-150,0,
01-05,12.0,1,12.0,,150-155,0,,150-155,9,45.0,150-155,0,
05-10,15.0,1,15.0,,155-160,0,,155-160,9,45.0,155-160,0,
10-15,15.0,1,15.0,,160-165,0,,160-165,9,45.0,160-165,0,
15-20,15.0,1,15.0,,165-170,0,,165-170,9,45.0,165-170,0,
20-25,30.0,1,30.0,,175-180,0,,175-180,9,45.0,175-180,0,
25-30,30.0,1,30.0,,180-185,0,,180-185,9,45.0,180-185,0,
