Unnamed: 0,Site$,PA$,Unnamed: 5,Unnamed: 7,Game Name,xxx,Per Level,Per Range,xxx.1,Per Level.1,Per Range.1,xxx.2,Per Level.2,Per Range.2
,,,,,,01-05,0,0.0,01-05,0,0.0,01-05,0,0.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,0,0.0,05-10,0,0.0,05-10,0,0.0
,,,,,,10-15,0,,10-15,0,,10-15,0,
Solo Ranked Placement Games,,,,,Copy & Paste Like The Example,15-20,0,,15-20,0,,15-20,0,
,,,,,,20-25,0,,20-25,0,,20-25,0,
All regions have 10 placement games,,,,,Game: League of Legends,25-30,0,,25-30,0,,25-30,0,
,,,,,Region (NA/EUW/EUNE):,30-35,0,,30-35,0,,30-35,0,
Previous Season Rank Per Game,,,,,Game Mode: Solo (Piloted),35-40,0,,35-40,0,,35-40,0,
,,,,,Service Requested:,40-45,0,,40-45,0,,40-45,0,
Unranked,5,5.94530321,,,Account Login:,45-50,0,,45-50,0,,45-50,0,
Iron,5,5.94530321,,,Account Password:,50-55,0,,50-55,0,,50-55,0,
Bronze,5,5.94530321,,,Summoner Name: ,55-60,0,,55-60,0,,55-60,0,
Silver,5,5.94530321,,,Email for Updates:,60-65,0,,60-65,0,,60-65,0,
Gold,5,5.94530321,,,,65-70,0,,65-70,0,,65-70,0,
Platinum,7,8.323424495,,,Example,70-75,0,,70-75,0,,70-75,0,
Diamond,8,9.512485137,,,,75-80,0,,75-80,0,,75-80,0,
,,,,,Game: League of Legends,80-85,0,,80-85,0,,80-85,0,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,Region (NA/EUW/EUNE): NA,85-90,0,,85-90,0,,85-90,0,
,,,,,Game Mode: Solo (Piloted),90-95,0,,90-95,0,,90-95,0,
Solo Ranked & Teamfight Tactics,Per Division,#VALUE!,Per Win,TFT Division,Service Requested: Silver IV to Silver II,95-100,0,,95-100,0,,95-100,0,
,,,,,Account Login: exampleLogin,100-105,0,,100-105,0,,100-105,0,
Iron IV to Iron III,20,23.78121284,4,5,Account Password: examplePassword,105-110,0,,105-110,0,,105-110,0,
Iron III to Iron II,20,23.78121284,4,5,Summoner Name: Example,110-115,0,,110-115,0,,110-115,0,
Iron II to Iron I,20,23.78121284,4,5,Email for Updates: example@example.com,115-120,0,,115-120,0,,115-120,0,
Iron I to Bronze IV,20,23.78121284,4,5,,120-125,0,,120-125,0,,120-125,0,
Bronze IV to Bronze III,20,23.78121284,4,5,,125-130,0,,125-130,0,,125-130,0,
Bronze III to Bronze II,20,23.78121284,4,5,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,130-135,0,,130-135,0,,130-135,0,
Bronze II to Bronze I,20,23.78121284,4,5,,135-140,0,,135-140,0,,135-140,0,
Bronze I to Silver IV,20,23.78121284,4,7,Copy & Paste Like The Example,140-145,0,,140-145,0,,140-145,0,
Silver IV to Silver III,25,29.72651605,5,8,,145-150,0,,145-150,0,,145-150,0,
Silver III to Silver II,25,29.72651605,5,8,Game: League of Legends,150-155,0,,150-155,0,,150-155,0,
Silver II to Silver I,25,29.72651605,5,8,Region (NA/EUW/EUNE):,155-160,0,,155-160,0,,155-160,0,
Silver I to Gold IV,30,35.67181926,6,10,Game Mode: Duo,160-165,0,,160-165,0,,160-165,0,
Gold IV to Gold III,35,41.61712247,7,12,Service Requested:,165-170,0,,165-170,0,,165-170,0,
Gold III to Gold II,35,41.61712247,7,12,Summoner Name: Example,175-180,0,,175-180,0,,175-180,0,
Gold II to Gold I,40,47.56242568,8,12,Email for Updates:,180-185,0,,180-185,0,,180-185,0,
Gold I to Platinum IV,45,53.50772889,9,15,,185-190,0,,185-190,0,,185-190,0,
Platinum IV to Platinum III,50,59.4530321,10,20,,190-195,0,,190-195,0,,190-195,0,
Platinum III to Platinum II,50,59.4530321,10,20,Example,195-200,0,,195-200,0,,195-200,0,
Platinum II to Platinum I,55,65.39833532,11,30,,,,0.0,,,0.0,,,0.0
Platinum I to Diamond IV,65,77.28894174,13,35,Game: League of Legends,,,,,,,,,
Diamond IV to Diamond III,90,107.0154578,16,50,Region (NA/EUW/EUNE): NA,Current,1,,Current,1,,Current,1,
Diamond III to Diamond II,120,142.6872771,20,70,Game Mode: Duo,Desired,60,,Desired,200,,Desired,200,
Diamond II to Diamond I,150,178.3590963,25,80,Service Requested: Silver IV to Silver II,Site,45662,,Site,45662,,Site,45662,
Diamond I to Master,250,297.2651605,30,150,Summoner Name: Example,0.159,54295,,0.159,54295,,0.159,54295,
,,,,,Email for Updates: example@example.com,0.841,,,0.841,,,0.841,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,Markup,200,,Markup,200,,Markup,200,
,,,,,,0.2,250,,0.2,250,,0.2,250,
Duo Ranked Placement Games,,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,,,,
All regions have 10 placement games,,,,,Copy & Paste Like The Example,Level,Cumulative,,xxx,Cumulative,,xxx,Cumulative,
,,,,,,1,-45662,,1,-45662,,1,-45662,
Previous Season Rank Per Game,,,,,Game: League of Legends,2,,,2,,,2,,
,,,,,Region (NA/EUW/EUNE):,3,,,3,,,3,,
Unranked,7,8.323424495,,,Game Mode: Teamfight Tactics,4,,,4,,,4,,
Iron,7,8.323424495,,,Service Requested:,5,,,5,,,5,,
Bronze,7,8.323424495,,,Account Login:,6,,,6,,,6,,
Silver,7,8.323424495,,,Account Password:,7,,,7,,,7,,
Gold,7,8.323424495,,,Summoner Name: Example,8,,,8,,,8,,
Platinum,9,10.70154578,,,Email for Updates:,9,,,9,,,9,,
Diamond,11,13.07966706,,,,10,,,10,,,10,,
Master,15,17.83590963,,,Example,11,,,11,,,11,,
Grand Master,15,17.83590963,,,,12,,,12,,,12,,
Challenger,20,23.78121284,,,Game: League of Legends,13,,,13,,,13,,
,,,,,Region (NA/EUW/EUNE): NA,14,,,14,,,14,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,Game Mode: Teamfight Tactics,15,,,15,,,15,,
,,,,,Service Requested: Silver IV to Silver II,16,,,16,,,16,,
Duo Ranked,Per Division,#VALUE!,Per Win,Per Game,Account Login: examplelogin,17,,,17,,,17,,
,,,,,Account Password: examplepassword,18,,,18,,,18,,
Iron IV to Iron III,24,28.53745541,5,4,Summoner Name: Example,19,,,19,,,19,,
Iron III to Iron II,24,28.53745541,5,4,Email for Updates: example@example.com,20,,,20,,,20,,
Iron II to Iron I,24,28.53745541,5,4,,21,,,21,,,21,,
Iron I to Bronze IV,24,28.53745541,5,4,,22,,,22,,,22,,
Bronze IV to Bronze III,24,28.53745541,5,4,Use Site pricing for PA,23,,,23,,,23,,
Bronze III to Bronze II,24,28.53745541,5,4,,24,,,24,,,24,,
Bronze II to Bronze I,24,28.53745541,5,4,https://user.playerauctions.com/offerCreation/?offerid=183404468&type=powerleveling&actiontype=copy,25,,,25,,,25,,
Bronze I to Silver IV,24,28.53745541,5,4,,26,,,26,,,26,,
Silver IV to Silver III,30,35.67181926,6,5,,27,,,27,,,27,,
Silver III to Silver II,30,35.67181926,6,5,,28,,,28,,,28,,
Silver II to Silver I,30,35.67181926,6,5,,29,,,29,,,29,,
Silver I to Gold IV,36,42.80618312,7,6,,30,,,30,,,30,,
Gold IV to Gold III,46,54.69678954,8,7,,31,,,31,,,31,,
