Unnamed: 0,Site & PA$,Time,PA$,Game Name,xxx,Per Level,Per Range,xxx.1,Per Level.1,Per Range.1,xxx.2,Per Level.2,Per Range.2
,,,,,01-05,0,0.0,01-05,0,0.0,01-05,0,0.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,0,0.0,05-10,0,0.0,05-10,0,0.0
,,,,,10-15,0,,10-15,0,,10-15,0,
Solo Ranked Placement Games,,,,Copy & Paste Like The Example,15-20,0,,15-20,0,,15-20,0,
,,,,,20-25,0,,20-25,0,,20-25,0,
All regions have 10 placement games,,,,Game: League of Legends,25-30,0,,25-30,0,,25-30,0,
,,,,Region (NA/EUW/EUNE):,30-35,0,,30-35,0,,30-35,0,
Previous Season Rank Per Game,,,,Game Mode: Solo (Piloted),35-40,0,,35-40,0,,35-40,0,
,,,,Game Mode: Duo,40-45,0,,40-45,0,,40-45,0,
Unranked,5.0,0.1,5.0,Game Mode: Teamfight Tactics,45-50,0,,45-50,0,,45-50,0,
Iron,5.0,0.1,5.0,Service Requested:,50-55,0,,50-55,0,,50-55,0,
Bronze,5.0,0.1,5.0,Account Login (Solo/TFT): ,55-60,0,,55-60,0,,55-60,0,
Silver,5.0,0.1,5.0,Account Password (Solo/TFT): ,60-65,0,,60-65,0,,60-65,0,
Gold,5.0,0.1,5.0,Summoner Name: ,65-70,0,,65-70,0,,65-70,0,
Platinum,7.0,0.1,7.0,Email for Updates:,70-75,0,,70-75,0,,70-75,0,
Diamond,8.0,0.1,8.0,,75-80,0,,75-80,0,,75-80,0,
,,,,Example,80-85,0,,80-85,0,,80-85,0,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,85-90,0,,85-90,0,,85-90,0,
,,,,Game: League of Legends,90-95,0,,90-95,0,,90-95,0,
Solo Ranked Per Division,,,,Region (NA/EUW/EUNE): NA,95-100,0,,95-100,0,,95-100,0,
,,,,Game Mode: Solo (Piloted),100-105,0,,100-105,0,,100-105,0,
Requires 15+ LP/Win & LP Gain > Loss,,,,Service Requested: Silver IV to Silver II,105-110,0,,105-110,0,,105-110,0,
,,,,Account Login (Solo/TFT): exampleLogin,110-115,0,,110-115,0,,110-115,0,
Iron IV to Iron III,20.0,1.0,20.0,Account Password (Solo/TFT): examplePassword,115-120,0,,115-120,0,,115-120,0,
Iron III to Iron II,20.0,1.0,20.0,Summoner Name: exampleName,120-125,0,,120-125,0,,120-125,0,
Iron II to Iron I,20.0,1.0,20.0,Email for Updates: example@example.com,125-130,0,,125-130,0,,125-130,0,
Iron I to Bronze IV,20.0,1.0,20.0,,130-135,0,,130-135,0,,130-135,0,
Bronze IV to Bronze III,20.0,1.0,20.0,,135-140,0,,135-140,0,,135-140,0,
Bronze III to Bronze II,20.0,1.0,20.0,,140-145,0,,140-145,0,,140-145,0,
Bronze II to Bronze I,20.0,1.0,20.0,Use Site pricing for PA,145-150,0,,145-150,0,,145-150,0,
Bronze I to Silver IV,20.0,1.0,20.0,,150-155,0,,150-155,0,,150-155,0,
Silver IV to Silver III,25.0,1.0,25.0,,155-160,0,,155-160,0,,155-160,0,
Silver III to Silver II,25.0,1.0,25.0,,160-165,0,,160-165,0,,160-165,0,
Silver II to Silver I,25.0,1.0,25.0,https://user.playerauctions.com/offerCreation/?offerid=177508051&type=powerleveling&actiontype=copy,165-170,0,,165-170,0,,165-170,0,
Silver I to Gold IV,30.0,1.0,30.0,,175-180,0,,175-180,0,,175-180,0,
Gold IV to Gold III,35.0,1.0,35.0,https://www.epicnpc.com/threads/lol-solo-duo-boosting-placements-per-division-win-mastery-leveling.505258/,180-185,0,,180-185,0,,180-185,0,
Gold III to Gold II,35.0,1.0,35.0,https://www.ownedcore.com/forums/showthread.php?t=961292&p=4346878#post4346878,185-190,0,,185-190,0,,185-190,0,
Gold II to Gold I,40.0,1.0,40.0,https://www.elitepvpers.com/forum/league-legends-trading/2994003-ogedge-com-elo-boosting-duo-coaching-accounts-ranked-unranked-16-50-champs.html,190-195,0,,190-195,0,,190-195,0,
Gold I to Platinum IV,45.0,1.0,45.0,https://www.elitepvpers.com/forum/league-legends-trading/4825503-duo-boosting-placements-per-division-win-game.html#post38423668,195-200,0,,195-200,0,,195-200,0,
Platinum IV to Platinum III,50.0,1.5,50.0,https://www.sythe.org/threads/ogedge-com-verified-tft-solo-duo-ranked-placements-per-division-win-mastery-leveling/#post-13219761,,,0.0,,,0.0,,,0.0
Platinum III to Platinum II,50.0,1.5,50.0,,,,,,,,,,
Platinum II to Platinum I,55.0,1.5,55.0,,Current,1,,Current,1,,Current,1,
Platinum I to Diamond IV,65.0,1.5,65.0,,Desired,60,,Desired,200,,Desired,200,
Diamond IV to Diamond III,90.0,2.0,90.0,,Site,0,,Site,0,,Site,0,
Diamond III to Diamond II,120.0,2.0,120.0,,0,0,,0,0,,0,0,
Diamond II to Diamond I,150.0,3.0,150.0,,1,,,1,,,1,,
Diamond I to Master,250.0,3.0,250.0,,Markup,200,,Markup,200,,Markup,200,
,,,,,0.2,250,,0.2,250,,0.2,250,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,,,,,,,,
Solo Ranked Per Net Win,,,,,Level,Cumulative,,xxx,Cumulative,,xxx,Cumulative,
,,,,,1,0,,1,0,,1,0,
Iron IV,4.0,0.2,4.0,,2,,,2,,,2,,
Iron III,4.0,0.2,4.0,,3,,,3,,,3,,
Iron II,4.0,0.2,4.0,,4,,,4,,,4,,
Iron I,4.0,0.2,4.0,,5,,,5,,,5,,
Bronze IV,4.0,0.2,4.0,,6,,,6,,,6,,
Bronze III,4.0,0.2,4.0,,7,,,7,,,7,,
Bronze II,4.0,0.2,4.0,,8,,,8,,,8,,
Bronze I,4.0,0.2,4.0,,9,,,9,,,9,,
Silver IV,5.0,0.2,5.0,,10,,,10,,,10,,
Silver III,5.0,0.2,5.0,,11,,,11,,,11,,
Silver II,5.0,0.2,5.0,,12,,,12,,,12,,
Silver I,6.0,0.2,6.0,,13,,,13,,,13,,
Gold IV,7.0,0.2,7.0,,14,,,14,,,14,,
Gold III,7.0,0.2,7.0,,15,,,15,,,15,,
Gold II,8.0,0.2,8.0,,16,,,16,,,16,,
Gold I,9.0,0.2,9.0,,17,,,17,,,17,,
Platinum IV,10.0,0.2,10.0,,18,,,18,,,18,,
Platinum III,10.0,0.2,10.0,,19,,,19,,,19,,
Platinum II,11.0,0.2,11.0,,20,,,20,,,20,,
Platinum I,13.0,0.2,13.0,,21,,,21,,,21,,
Diamond IV,16.0,0.2,16.0,,22,,,22,,,22,,
Diamond III,20.0,0.2,20.0,,23,,,23,,,23,,
Diamond II,25.0,0.2,25.0,,24,,,24,,,24,,
Diamond I,30.0,0.2,30.0,,25,,,25,,,25,,
,,,,,26,,,26,,,26,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,27,,,27,,,27,,
,,,,,28,,,28,,,28,,
Duo Ranked Placement Games,,,,,29,,,29,,,29,,
,,,,,30,,,30,,,30,,
All regions have 10 placement games,,,,,31,,,31,,,31,,
,,,,,32,,,32,,,32,,
Previous Season Rank Per Game,,,,,33,,,33,,,33,,
,,,,,34,,,34,,,34,,
Unranked,7.0,0.1,7.0,,35,,,35,,,35,,
Iron,7.0,0.1,7.0,,36,,,36,,,36,,
Bronze,7.0,0.1,7.0,,37,,,37,,,37,,
Silver,7.0,0.1,7.0,,38,,,38,,,38,,
