Unnamed: 0,Site$,Time,Required,PA$,Game Name,Level,Per Level,Per Range,xxx,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
,,,,,,01-05,0,0.0,01-05,0,0.0,01-05,0,0.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,0,0.0,05-10,0,0.0,05-10,0,0.0
,,,,,,10-15,1,5.0,10-15,0,,10-15,0,
Leveling,,,,,Copy & Paste Like The Example,15-20,1,5.0,15-20,0,,15-20,0,
,,,,,,20-25,1,5.0,20-25,0,,20-25,0,
01-50,70,2,,83.23424495,Game: Lost Ark,25-30,1,5.0,25-30,0,,25-30,0,
40-50,30,1,,35.67181926,Region (US-E/US-W/EU-C): ,30-35,2,10.0,30-35,0,,30-35,0,
30-40,20,1,,23.78121284,Service: ,35-40,2,10.0,35-40,0,,35-40,0,
2022-01-30 00:00:00,20,1,,23.78121284,Server Name: ,40-45,3,15.0,40-45,0,,40-45,0,
,,,,,Class: ,45-50,3,15.0,45-50,0,,45-50,0,
,,,,,Login: ,50-55,50,250.0,50-55,0,,50-55,0,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,Password: ,55-60,100,500.0,55-60,0,,55-60,0,
,,,,,Character Name: ,60-65,0,0.0,60-65,0,,60-65,0,
Shadespire Tower,,,,,Email for Updates: ,65-70,0,0.0,65-70,0,,65-70,0,
,,,,,,70-75,0,,70-75,0,,70-75,0,
Level 1-4,1,1,Required: iLvl 302,1.189060642,Example,75-80,0,,75-80,0,,75-80,0,
Level 5-9,1,1,Required: iLvl 310,1.189060642,,80-85,0,,80-85,0,,80-85,0,
Level 10-14,1,1,Required: iLvl 325,1.189060642,Game: Lost Ark,85-90,0,,85-90,0,,85-90,0,
Level 15-19,1,1,Required: iLvl 340,1.189060642,Region (US-E/US-W/EU-C): US East,90-95,0,,90-95,0,,90-95,0,
Level 20-24,1,1,Required: iLvl 355,1.189060642,Service: Leveling 01-50,95-100,0,,95-100,0,,95-100,0,
Level 25-29,1,1,Required: iLvl 370,1.189060642,Server Name: Rush,100-105,0,,100-105,0,,100-105,0,
Level 30-34,1,1,Required: iLvl 400,1.189060642,,105-110,0,,105-110,0,,105-110,0,
Level 35-39,1,1,Required: iLvl 415,1.189060642,Class: Bard,110-115,0,,110-115,0,,110-115,0,
Level 40-44,1,1,Required: iLvl 460,1.189060642,Login: examplelogin,115-120,0,,115-120,0,,115-120,0,
Level 45-49,1,1,Required: iLvl 505,1.189060642,Password: examplePass,120-125,0,,120-125,0,,120-125,0,
Level 50,1,1,Required: iLvl 550+,,Character Name: exampleName,125-130,0,,125-130,0,,125-130,0,
,,,,,Email for Updates: example@example.com,130-135,0,,130-135,0,,130-135,0,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,135-140,0,,135-140,0,,135-140,0,
,,,,,,140-145,0,,140-145,0,,140-145,0,
Chaos Dungeon Runs,10,1,Required: iLvl 302,11.89060642,,145-150,0,,145-150,0,,145-150,0,
,,,,,,150-155,0,,150-155,0,,150-155,0,
Abyss Dungeon Runs,,,,,,155-160,0,,155-160,0,,155-160,0,
,,,,,,160-165,0,,160-165,0,,160-165,0,
Demon Beast Canyon,10,1,Required: iLvl 325,11.89060642,,165-170,0,,165-170,0,,165-170,0,
Necromancer's Origin,10,1,Required: iLvl 340,11.89060642,,175-180,0,,175-180,0,,175-180,0,
Hall of the Twisted Warlord,15,1,Required: iLvl 415,17.83590963,,180-185,0,,180-185,0,,180-185,0,
Hildebrant Palace,15,1,Required: iLvl 460,17.83590963,,185-190,0,,185-190,0,,185-190,0,
Lamenting Road,20,1,Required: iLvl 825,23.78121284,,190-195,0,,190-195,0,,190-195,0,
Falling Proud Furnace,20,1,Required: iLvl 840,23.78121284,,195-200,0,,195-200,0,,195-200,0,
Sea of Sloth,20,1,Required: iLvl 915,23.78121284,,,,820.0,,,0.0,,,0.0
Silent Karkosa,20,1,Required: iLvl 915,23.78121284,,,,,,,,,,
Alaric's Sacred Ground,20,1,Required: iLvl 960,23.78121284,,Current,63,,Current,1,,Current,1,
,,,,,,Desired,70,,Desired,200,,Desired,200,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,Site,0,,Site,0,,Site,0,
,,,,,,0.159,0,,0.159,0,,0.159,0,
Professions,,,,,,0.841,,,,,,,,
,,,,,,Markup,200,,Markup,200,,Markup,200,
Excavating,1,1,xxx,1.189060642,,0.2,250,,0.2,250,,0.2,250,
Fishing,1,1,xxx,1.189060642,,,,,,,,,,
Foraging,1,1,xxx,1.189060642,,,,,,,,,,
Hunting,1,1,xxx,1.189060642,,Level,Cumulative,,xxx,Cumulative,,xxx,Cumulative,
Logging,1,1,xxx,1.189060642,,1,0,,1,0,,1,0,
Mining,1,1,xxx,1.189060642,,2,0,,2,,,2,,
,,,,,,3,0,,3,,,3,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,4,0,,4,,,4,,
,,,,,,5,0,,5,,,5,,
Guardian Raids,,,,,,6,0,,6,,,6,,
,,,,,,7,0,,7,,,7,,
Ur'Nil,15,1,Required: iLvl 302,17.83590963,,8,0,,8,,,8,,
Lumerus,15,1,Required: iLvl 340,17.83590963,,9,0,,9,,,9,,
Icy Legoros,15,1,Required: iLvl 380,17.83590963,,10,0,,10,,,10,,
Vertus,15,1,Required: iLvl 420,17.83590963,,11,1,,11,,,11,,
Chromanium,15,1,Required: iLvl 460,17.83590963,,12,2,,12,,,12,,
Nacrasena,15,1,Required: iLvl 500,17.83590963,,13,3,,13,,,13,,
Flame Fox Yoho,15,1,Required: iLvl 540,17.83590963,,14,4,,14,,,14,,
Tytalos,15,1,Required: iLvl 580,17.83590963,Artillerist,15,5,,15,,,15,,
Dark Legoros,15,1,Required: iLvl 802,17.83590963,Bard,16,6,,16,,,16,,
Helgaia,15,1,Required: iLvl 840,17.83590963,Berserker,17,7,,17,,,17,,
Calventus,15,1,Required: iLvl 880,17.83590963,Deadeye,18,8,,18,,,18,,
Achates,15,1,Required: iLvl 920,17.83590963,Deathblade,19,9,,19,,,19,,
Frost Helgaia,15,1,Required: iLvl 960,17.83590963,Gunlancer,20,10,,20,,,20,,
Levanos,15,1,Required: iLvl 1040,17.83590963,Gunslinger,21,11,,21,,,21,,
Alberhastic,15,1,Required: iLvl 1080,17.83590963,Paladin,22,12,,22,,,22,,
Lava Chromanium,15,1,Required: iLvl 1302,17.83590963,Scrapper,23,13,,23,,,23,,
Armored Nacrasena,15,1,Required: iLvl 1302,17.83590963,Shadowhunter,24,14,,24,,,24,,
Igrexion,15,1,Required: iLvl 1325,17.83590963,Sharpshooter,25,15,,25,,,25,,
Night Fox Yoho,15,1,Required: iLvl 1355,17.83590963,Sorceress,26,16,,26,,,26,,
Velganos,15,1,Required: iLvl 1385,17.83590963,Soulfist,27,17,,27,,,27,,
Descaluda,15,1,Required: iLvl 1415,17.83590963,Striker,28,18,,28,,,28,,
Kungellanium,15,1,Required: iLvl 1460,17.83590963,Wardancer,29,19,,29,,,29,,
Kal Eligos,15,1,Required: iLvl 1490,17.83590963,,30,20,,30,,,30,,
Hanumatan,15,1,Required: iLvl 1540,17.83590963,,31,22,,31,,,31,,
,,,,,,32,24,,32,,,32,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,33,26,,33,,,33,,
