Unnamed: 0,Site$,Time,Required,PA$,Game Name,Level,Per Level,Per Range,Weapon,Per Level.1,Per Range.1,Profession,Per Level.2,Per Range.2
,,,,,,01-05,1,4.0,01-05,2.5,10.0,01-05,0.2,0.8
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,2,10.0,05-10,3,15.0,05-10,0.25,1.25
,,,,,,10-15,3,15.0,10-15,4,20.0,10-15,0.25,1.25
Character Leveling,,,,,Copy & Paste Like The Example,15-20,3,15.0,15-20,8,40.0,15-20,0.25,1.25
,,,,,,20-25,4,20.0,20-25,0,,20-25,0.5,2.5
Includes Leveling a Primary & Secondary Weapon,,,,,Game: New World,25-30,4,20.0,25-30,0,,25-30,0.5,2.5
,,,,,"Region (US, EU, SA, AP): ",30-35,5,25.0,30-35,0,,30-35,0.5,2.5
01-60,344.0,10.7,,409.0368609,Platform (Steam/Amazon): ,35-40,6,30.0,35-40,0,,35-40,0.5,2.5
01-50,229.0,6.7,,272.294887,Service: ,40-45,9,45.0,40-45,0,,40-45,0.5,2.5
01-40,139.0,4.2,,165.2794293,Server Name: ,45-50,9,45.0,45-50,0,,45-50,0.5,2.5
01-30,84.0,2.2,,99.88109394,Primary Weapon: ,50-55,11,55.0,50-55,0,,50-55,0.75,3.75
,,,,,Secondary Weapon: ,55-60,12,60.0,55-60,0,,55-60,0.75,3.75
Custom Leveling Brackets,,,,,Login: ,60-65,0,,60-65,0,,60-65,0.75,3.75
,,,,,Password: ,65-70,0,,65-70,0,,65-70,0.75,3.75
2020-01-05 00:00:00,4.0,0.1,,4.756242568,Character Name: ,70-75,0,,70-75,0,,70-75,0.75,3.75
2020-05-10 00:00:00,10.0,0.1,,11.89060642,Email for Updates: ,75-80,0,,75-80,0,,75-80,0.75,3.75
2020-10-15 00:00:00,15.0,0.25,,17.83590963,,80-85,0,,80-85,0,,80-85,0.75,3.75
15-20,15.0,0.25,,17.83590963,Example,85-90,0,,85-90,0,,85-90,0.75,3.75
20-25,20.0,0.5,,23.78121284,,90-95,0,,90-95,0,,90-95,0.75,3.75
25-30,20.0,1.0,,23.78121284,Game: New World,95-100,0,,95-100,0,,95-100,0.75,3.75
30-35,25.0,1.0,,29.72651605,"Region (US, EU, SA, AP):  US East",100-105,0,,100-105,0,,100-105,1.25,6.25
35-40,30.0,1.0,,35.67181926,Platform (Steam/Amazon):  Steam,105-110,0,,105-110,0,,105-110,1.25,6.25
40-45,45.0,1.0,,53.50772889,Service:  Leveling 1-50,110-115,0,,110-115,0,,110-115,1.25,6.25
45-50,45.0,1.5,,53.50772889,Server Name:  Oceana,115-120,0,,115-120,0,,115-120,1.25,6.25
50-55,55.0,2.0,,65.39833532,Primary Weapon: Fire Staff,120-125,0,,120-125,0,,120-125,1.25,6.25
55-60,60.0,2.0,,71.34363853,Secondary Weapon: Life Staff,125-130,0,,125-130,0,,125-130,1.25,6.25
,,,,,Login:  exampleLogin,130-135,0,,130-135,0,,130-135,1.25,6.25
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,Password: examplePassword,135-140,0,,135-140,0,,135-140,1.25,6.25
,,,,,Character Name:  Bob,140-145,0,,140-145,0,,140-145,1.25,6.25
Weapon Mastery,,,,,Email for Updates:  example@example.com,145-150,0,,145-150,0,,145-150,1.25,6.25
,,,,,,150-155,0,,150-155,0,,150-155,2,10.0
"Sword and Shield, Rapier, Hatchet",,,,,,155-160,0,,155-160,0,,155-160,2,10.0
"Spear, Great Axe, War Hammer",,,,,,160-165,0,,160-165,0,,160-165,2,10.0
"Bow, Musket",,,,,,165-170,0,,165-170,0,,165-170,2,10.0
"Fire Staff, Life Staff, Ice Gauntlet",,,,,,175-180,0,,175-180,0,,175-180,2,10.0
,,,,,,180-185,0,,180-185,0,,180-185,2,10.0
2021-01-20 00:00:00,85.0,2.0,Requires Character Level 60,101.0701546,,185-190,0,,185-190,0,,185-190,2,10.0
,,,,,,190-195,0,,190-195,0,,190-195,2,10.0
01-05,10.0,0.1,Requires Character Level 10,11.89060642,,195-200,0,,195-200,0,,195-200,2,10.0
05-10,15.0,0.2,Requires Character Level 20,17.83590963,,,,344.0,,,85.0,,,209.55
10-15,20.0,0.7,Requires Character Level 40,23.78121284,,,,,,,,,,
15-20,40.0,1.0,Requires Character Level 60,47.56242568,https://user.playerauctions.com/offerCreation/?offerid=174627132&type=powerleveling&actiontype=copy,Current,31,,Current,1,,Current,60,
,,,,,,Desired,50,,Desired,200,,Desired,100,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,https://www.epicnpc.com/threads/ogedge-com-leveling-weapon-mastery-professions.2141576/,Site,140,,Site,85,,Site,30,
,,,,,https://www.ownedcore.com/forums/showthread.php?t=961297&p=4346883#post4346883,0.159,167,,0.159,102,,0.159,36,
Professions,,,,,https://www.elitepvpers.com/forum/new-world-trading/4983648-ogedge-com-new-world-leveling-professions-weapon-mastery.html#post39032976,0.841,,,0.841,,,0.841,,
,,,,,,Markup,200,,Markup,200,,Markup,200,
Fishing,,,,,,0.2,250,,0.2,250,,0.2,250,
Harvesting,,,,,,,,,,,,,,
Logging,,,,,,,,,,,,,,
Mining,,,,,,Level,Cumulative,,Weapon,Cumulative,,Profession,Cumulative,
Skinning,,,,,,1,0,,1,0,,1,0,
,,,,,,2,1,,2,2.5,,2,0.2,
01-200,209.55,,,249.1676576,,3,2,,3,5,,3,0.4,
,,,,,,4,3,,4,7.5,,4,0.6,
01-50,19.55,,,23.24613555,,5,4,,5,10,,5,0.8,
50-100,37.5,,,44.58977408,,6,6,,6,13,,6,1.05,
100-150,62.5,,,74.31629013,,7,8,,7,16,,7,1.3,
150-200,90.0,,,107.0154578,,8,10,,8,19,,8,1.55,
,,,,,,9,12,,9,22,,9,1.8,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,10,14,,10,25,,10,2.05,
