Unnamed: 0,Site$,Time,PA$,Game Name,xxx,Per Level,Per Range,xxx.1,Per Level.1,Per Range.1,xxx.2,Per Level.2,Per Range.2
,,,,,01-05,0,0.0,01-05,0,0.0,01-05,0,0.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,0,0.0,05-10,0,0.0,05-10,0,0.0
,,,,,10-15,0,,10-15,0,,10-15,0,
TFT Ranked Per Division,,,,Copy & Paste Like The Example,15-20,0,,15-20,0,,15-20,0,
,,,,,20-25,0,,20-25,0,,20-25,0,
Iron IV to Iron III,5.0,1.0,5.0,Game: League of Legends,25-30,0,,25-30,0,,25-30,0,
Iron III to Iron II,5.0,1.0,5.0,Region (NA/EUW/EUNE):,30-35,0,,30-35,0,,30-35,0,
Iron II to Iron I,5.0,1.0,5.0,Game Mode: Teamfight Tactics,35-40,0,,35-40,0,,35-40,0,
Iron I to Bronze IV,5.0,1.0,5.0,Service Requested:,40-45,0,,40-45,0,,40-45,0,
Bronze IV to Bronze III,5.0,1.0,5.0,Account Login:,45-50,0,,45-50,0,,45-50,0,
Bronze III to Bronze II,5.0,1.0,5.0,Account Password:,50-55,0,,50-55,0,,50-55,0,
Bronze II to Bronze I,5.0,1.0,5.0,Summoner Name: Example,55-60,0,,55-60,0,,55-60,0,
Bronze I to Silver IV,7.0,1.0,7.0,Email for Updates:,60-65,0,,60-65,0,,60-65,0,
Silver IV to Silver III,8.0,1.0,8.0,,65-70,0,,65-70,0,,65-70,0,
Silver III to Silver II,8.0,1.0,8.0,Example,70-75,0,,70-75,0,,70-75,0,
Silver II to Silver I,8.0,1.0,8.0,,75-80,0,,75-80,0,,75-80,0,
Silver I to Gold IV,10.0,1.0,10.0,Game: League of Legends,80-85,0,,80-85,0,,80-85,0,
Gold IV to Gold III,12.0,1.0,12.0,Region (NA/EUW/EUNE): NA,85-90,0,,85-90,0,,85-90,0,
Gold III to Gold II,12.0,1.0,12.0,Game Mode: Teamfight Tactics,90-95,0,,90-95,0,,90-95,0,
Gold II to Gold I,12.0,1.0,12.0,Service Requested: Silver IV to Silver II,95-100,0,,95-100,0,,95-100,0,
Gold I to Platinum IV,15.0,1.0,15.0,Account Login: exampleLogin,100-105,0,,100-105,0,,100-105,0,
Platinum IV to Platinum III,20.0,1.5,20.0,Account Password: examplePassword,105-110,0,,105-110,0,,105-110,0,
Platinum III to Platinum II,20.0,1.5,20.0,Summoner Name: Example,110-115,0,,110-115,0,,110-115,0,
Platinum II to Platinum I,30.0,1.5,30.0,Email for Updates: example@example.com,115-120,0,,115-120,0,,115-120,0,
Platinum I to Diamond IV,35.0,1.5,35.0,,120-125,0,,120-125,0,,120-125,0,
Diamond IV to Diamond III,50.0,2.0,50.0,,125-130,0,,125-130,0,,125-130,0,
Diamond III to Diamond II,70.0,2.0,70.0,Use Site pricing for PA,130-135,0,,130-135,0,,130-135,0,
Diamond II to Diamond I,80.0,3.0,80.0,,135-140,0,,135-140,0,,135-140,0,
Diamond I to Master,150.0,3.0,150.0,,140-145,0,,140-145,0,,140-145,0,
,,,,,145-150,0,,145-150,0,,145-150,0,
,,,,https://user.playerauctions.com/offerCreation/?offerid=174632612&type=powerleveling&actiontype=copy,150-155,0,,150-155,0,,150-155,0,
,,,,,155-160,0,,155-160,0,,155-160,0,
,,,,https://www.epicnpc.com/threads/%F0%9F%94%B4%E2%9C%85tft-boosting-ranked-per-division.1762725/,160-165,0,,160-165,0,,160-165,0,
,,,,https://www.ownedcore.com/forums/showthread.php?t=925735&p=4261938#post4261938,165-170,0,,165-170,0,,165-170,0,
,,,,https://www.elitepvpers.com/forum/league-legends-trading/4825513-tft-boosting-ranked-per-division.html#post38423690,175-180,0,,175-180,0,,175-180,0,
,,,,,180-185,0,,180-185,0,,180-185,0,
,,,,,185-190,0,,185-190,0,,185-190,0,
,,,,,190-195,0,,190-195,0,,190-195,0,
,,,,,195-200,0,,195-200,0,,195-200,0,
,,,,,,,0.0,,,0.0,,,0.0
,,,,,Current,1,,Current,1,,Current,1,
,,,,,Desired,60,,Desired,200,,Desired,200,
,,,,,Site,0,,Site,0,,Site,0,
,,,,,0,0,,0,0,,0,0,
,,,,,1,,,1,,,1,,
,,,,,Markup,200,,Markup,200,,Markup,200,
,,,,,0.2,250,,0.2,250,,0.2,250,
,,,,,Level,Cumulative,,xxx,Cumulative,,xxx,Cumulative,
,,,,,1,0,,1,0,,1,0,
,,,,,2,,,2,,,2,,
,,,,,3,,,3,,,3,,
,,,,,4,,,4,,,4,,
,,,,,5,,,5,,,5,,
,,,,,6,,,6,,,6,,
,,,,,7,,,7,,,7,,
,,,,,8,,,8,,,8,,
,,,,,9,,,9,,,9,,
,,,,,10,,,10,,,10,,
,,,,,11,,,11,,,11,,
,,,,,12,,,12,,,12,,
,,,,,13,,,13,,,13,,
,,,,,14,,,14,,,14,,
,,,,,15,,,15,,,15,,
,,,,,16,,,16,,,16,,
,,,,,17,,,17,,,17,,
,,,,,18,,,18,,,18,,
,,,,,19,,,19,,,19,,
,,,,,20,,,20,,,20,,
,,,,,21,,,21,,,21,,
,,,,,22,,,22,,,22,,
,,,,,23,,,23,,,23,,
,,,,,24,,,24,,,24,,
,,,,,25,,,25,,,25,,
,,,,,26,,,26,,,26,,
,,,,,27,,,27,,,27,,
,,,,,28,,,28,,,28,,
,,,,,29,,,29,,,29,,
,,,,,30,,,30,,,30,,
,,,,,31,,,31,,,31,,
,,,,,32,,,32,,,32,,
,,,,,33,,,33,,,33,,
,,,,,34,,,34,,,34,,
,,,,,35,,,35,,,35,,
,,,,,36,,,36,,,36,,
,,,,,37,,,37,,,37,,
,,,,,38,,,38,,,38,,
,,,,,39,,,39,,,39,,
,,,,,40,,,40,,,40,,
,,,,,41,,,41,,,41,,
,,,,,42,,,42,,,42,,
,,,,,43,,,43,,,43,,
,,,,,44,,,44,,,44,,
,,,,,45,,,45,,,45,,
,,,,,46,,,46,,,46,,
,,,,,47,,,47,,,47,,
,,,,,48,,,48,,,48,,
,,,,,49,,,49,,,49,,
,,,,,50,,,50,,,50,,
,,,,,51,,,51,,,51,,
,,,,,52,,,52,,,52,,
,,,,,53,,,53,,,53,,
,,,,,54,,,54,,,54,,
,,,,,55,,,55,,,55,,
,,,,,56,,,56,,,56,,
,,,,,57,,,57,,,57,,
,,,,,58,,,58,,,58,,
,,,,,59,,,59,,,59,,
,,,,,60,,,60,,,60,,
,,,,,61,,,61,,,61,,
,,,,,62,,,62,,,62,,
,,,,,63,,,63,,,63,,
,,,,,64,,,64,,,64,,
,,,,,65,,,65,,,65,,
,,,,,66,,,66,,,66,,
,,,,,67,,,67,,,67,,
,,,,,68,,,68,,,68,,
,,,,,69,,,69,,,69,,
,,,,,70,,,70,,,70,,
,,,,,71,,,71,,,71,,
,,,,,72,,,72,,,72,,
,,,,,73,,,73,,,73,,
,,,,,74,,,74,,,74,,
,,,,,75,,,75,,,75,,
,,,,,76,,,76,,,76,,
,,,,,77,,,77,,,77,,
,,,,,78,,,78,,,78,,
,,,,,79,,,79,,,79,,
,,,,,80,,,80,,,80,,
,,,,,81,,,81,,,81,,
,,,,,82,,,82,,,82,,
,,,,,83,,,83,,,83,,
,,,,,84,,,84,,,84,,
,,,,,85,,,85,,,85,,
,,,,,86,,,86,,,86,,
,,,,,87,,,87,,,87,,
,,,,,88,,,88,,,88,,
,,,,,89,,,89,,,89,,
,,,,,90,,,90,,,90,,
