Unnamed: 0,Site$,Time,Required,PA$,Game Name,Level,Per Level,Per Range,Unnamed: 17,Rank,Division,Win
,,,,,,01-05,2,8.0,1.0,Iron I,15,7
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,2,10.0,2.0,Iron II,15,7
,,,,,,10-15,2,10.0,3.0,Iron III,15,7
Rank Division Boosting (Solo Piloted),,,    ,,Copy & Paste Like The Example,15-20,2,10.0,4.0,Bronze I,15,7
,,,,,,20-25,2,10.0,5.0,Bronze II,18,7
Iron I - Iron II,15.0,0.25,,17.83590963,Game: Valorant,25-30,2,10.0,6.0,Bronze III,18,7
Iron II - Iron III,15.0,0.25,,17.83590963,Region (NA/EU/OCE/SEA):,30-35,2,10.0,7.0,Silver I,20,8
Iron III - Bronze I,15.0,0.25,,17.83590963,Game Mode: Solo (Piloted),35-40,3,15.0,8.0,Silver II,25,8
Bronze I - Bronze II,15.0,0.25,,17.83590963,Service Requested:,40-45,4,20.0,9.0,Silver III,25,8
Bronze II - Bronze III,18.0,0.25,,21.40309156,Account Login:,45-50,5,25.0,10.0,Gold I,30,10
Bronze III - Silver I,18.0,0.25,,21.40309156,Account Password:,50-55,5,25.0,11.0,Gold II,30,10
Silver I - Silver II,20.0,0.25,,23.78121284,Display Name: ,55-60,2,10.0,12.0,Gold III,30,10
Silver II - Silver III,25.0,0.25,,29.72651605,Email for Updates:,60-65,2,10.0,13.0,Platinum I,35,13
Silver III - Gold I,25.0,0.25,,29.72651605,,65-70,2,10.0,14.0,Platinum II,35,13
Gold I - Gold II,30.0,0.25,,35.67181926,Example,70-75,2,10.0,15.0,Platinum III,40,13
Gold II - Gold III,30.0,0.25,,35.67181926,,75-80,2,10.0,16.0,Diamond I,50,25
Gold III - Platinum I,30.0,0.25,,35.67181926,Game: Valorant,80-85,3,15.0,17.0,Diamond II,65,25
Platinum I - Platinum II,35.0,1.0,,41.61712247,Region (NA/EU/OCE/SEA):NA,85-90,3,15.0,18.0,Diamond III,85,25
Platinum II - Platinum III,35.0,1.0,,41.61712247,Game Mode: Solo (Piloted),90-95,3,15.0,19.0,Ascendant I,100,42
Platinum III - Diamond I,40.0,1.0,,47.56242568,Service Requested: Silver III to Silver II,95-100,3,15.0,20.0,Ascendant II,115,45
Diamond I - Diamond II,50.0,1.0,,59.4530321,Account Login: exampleLogin,100-105,3,15.0,21.0,Ascendant III,130,48
