Unnamed: 0,PA$,Time,Required,Site$,Game Name,Level,Per Level,Per Range,xxx,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
,,,,,,01-05,1,4.0,01-05,0,0.0,01-05,0,0.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,1,5.0,05-10,0,0.0,05-10,0,0.0
,,,,,,10-15,1.5,7.5,10-15,0,,10-15,0,
Leveling,,,,,Copy & Paste Like The Example,15-20,1.5,7.5,15-20,0,,15-20,0,
,,,,,,20-25,2,10.0,20-25,0,,20-25,0,
01-80,527.9429251,17.16,,444.0,Game: World of Warcraft Classic,25-30,2,10.0,25-30,0,,25-30,0,
01-70,343.6385256,11.16,,289.0,Region (US/EU/OCE): ,30-35,2,10.0,30-35,0,,30-35,0,
01-60,206.8965517,6.16,,174.0,Service: ,35-40,2.5,12.5,35-40,0,,35-40,0,
60-70,136.7419738,5,,115.0,Server Name: ,40-45,2.5,12.5,40-45,0,,40-45,0,
58-70,155.7669441,5.75,,131.0,Type (PVE/PVP): ,45-50,5,25.0,45-50,0,,45-50,0,
70-80,184.3043995,6,,155.0,Faction (A/H): ,50-55,6,30.0,50-55,0,,50-55,0,
,,,,,Class: ,55-60,8,40.0,55-60,0,,55-60,0,
Custom Leveling Brackets,,,,,Battle.net Login: ,60-65,10,50.0,60-65,0,,60-65,0,
,,,,,Battle.net Password: ,65-70,13,65.0,65-70,0,,65-70,0,
2020-01-05 00:00:00,4.756242568,0.25,,4.0,Account Name: ,70-75,14,70.0,70-75,0,,70-75,0,
2020-05-10 00:00:00,5.94530321,0.25,,5.0,Character Name: ,75-80,17,85.0,75-80,0,,75-80,0,
2020-10-15 00:00:00,8.917954816,0.25,,7.5,Email for Updates: ,80-85,0,,80-85,0,,80-85,0,
15-20,8.917954816,0.25,,7.5,,85-90,0,,85-90,0,,85-90,0,
20-25,11.89060642,0.25,,10.0,,90-95,0,,90-95,0,,90-95,0,
25-30,11.89060642,0.25,,10.0,Example,95-100,0,,95-100,0,,95-100,0,
30-35,11.89060642,0.33,,10.0,,100-105,0,,100-105,0,,100-105,0,
35-40,14.86325803,0.33,,12.5,Game: World of Warcraft Classic,105-110,0,,105-110,0,,105-110,0,
40-45,14.86325803,0.5,,12.5,Region (US/EU/OCE): US,110-115,0,,110-115,0,,110-115,0,
45-50,29.72651605,1,,25.0,Service: Leveling 20-60,115-120,0,,115-120,0,,115-120,0,
50-55,35.67181926,1,,30.0,Server Name: Medivh,120-125,0,,120-125,0,,120-125,0,
55-60,47.56242568,1.5,,40.0,Type (PVE/PVP): PVE,125-130,0,,125-130,0,,125-130,0,
60-65,59.4530321,2,,50.0,Faction (A/H): Horde,130-135,0,,130-135,0,,130-135,0,
65-70,77.28894174,3,,65.0,Class: Mage,135-140,0,,135-140,0,,135-140,0,
70-75,83.23424495,3,,70.0,Battle.net Login: examplelogin,140-145,0,,140-145,0,,140-145,0,
75-80,101.0701546,3,,85.0,Battle.net Password: examplePass,145-150,0,,145-150,0,,145-150,0,
,,,,,Account Name: WOW2,150-155,0,,150-155,0,,150-155,0,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,Character Name: exampleName,155-160,0,,155-160,0,,155-160,0,
,,,,,Email for Updates: example@example.com,160-165,0,,160-165,0,,160-165,0,
Gathering,,,,,,165-170,0,,165-170,0,,165-170,0,
,,,,,,175-180,0,,175-180,0,,175-180,0,
Fishing 1-225,35.67181926,1,Required: L55+,30.0,,180-185,0,,180-185,0,,180-185,0,
Fishing 225-300,35.67181926,1,Required: L55+ & Mount,30.0,https://user.playerauctions.com/offerCreation/?offerid=183413486&type=powerleveling&actiontype=copy,185-190,0,,185-190,0,,185-190,0,
Fishing 300-375,59.4530321,2,Required: L55+ & Mount + TBC,50.0,https://user.playerauctions.com/offerCreation/?offerid=183413578&type=powerleveling&actiontype=copy,190-195,0,,190-195,0,,190-195,0,
,,,,,,195-200,0,,195-200,0,,195-200,0,
Herbalism 1-300,59.4530321,2,Required: L55+ & Mount,50.0,WOTLK,,,444.0,,,0.0,,,0.0
Herbalism 300-375,59.4530321,2,Required: L55+ & Mount + TBC,50.0,https://user.playerauctions.com/offerCreation/?offerid=184944024&type=powerleveling&actiontype=copy,,,,,,,,,
,,,,,,Current,62,,Current,1,,Current,1,
Mining 1-300,59.4530321,2,Required: L55+ & Mount,50.0,,Desired,70,,Desired,200,,Desired,200,
Mining 300-375,59.4530321,2,Required: L55+ & Mount + TBC,50.0,https://www.epicnpc.com/threads/ogedge-com-wow-classic-leveling-1-60-350-175-professions-more.1514464/,Site,95,,Site,0,,Site,0,
,,,,,https://www.ownedcore.com/forums/showthread.php?t=925739&p=4261943#post4261943,0.159,113,,0.159,0,,0.159,0,
Skinning 1-300,59.4530321,2,Required: L55+ & Mount,50.0,https://www.elitepvpers.com/forum/world-warcraft-trading/4983645-ogedge-com-wow-classic-tbc-leveling.html#post39032971,0.841,,,,,,,,
Skinning 300-375,59.4530321,2,Required: L55+ & Mount + TBC,50.0,https://www.sythe.org/threads/ogedge-com-wow-classic-1-60-175-350-professions-dungeon-grouping-raid-attunement-more/,Markup,230,1.42857142857142,Markup,200,,Markup,200,
,,,,,,0.2,287.5,,0.2,250,,0.2,250,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,,,,,,,,,
Crafting (Requires Related Gathering or Gold),,,,,,Level,Cumulative,,xxx,Cumulative,,xxx,Cumulative,
,,,,,,1,0,,1,0,,1,0,
First Aid 1-300,47.56242568,2,Required: L55+ & Mount,40.0,,2,1,,2,,,2,,
First Aid 300-375,47.56242568,2,Required: L55+ & Mount + TBC,40.0,,3,2,,3,,,3,,
,,,,,Professions,4,3,,4,,,4,,
Cooking 1-300,47.56242568,2,Required: L55+ & Mount,40.0,,5,4,,5,,,5,,
Cooking 300-375,47.56242568,2,Required: L55+ & Mount + TBC,40.0,L15+ 01 to 50 skill,6,5,,6,,,6,,
,,,,,L25+ 51 to 70 skill,7,6,,7,,,7,,
Alchemy 1-300,89.17954816,2,Required: L55+ & Mount,75.0,L30+ 71 to 100 skill,8,7,,8,,,8,,
Alchemy 300-375,166.4684899,2,Required: L55+ & Mount + TBC,140.0,L35+ 101 to 115 skill,9,8,,9,,,9,,
,,,,,L40+ 116 to 125 skill,10,9,,10,,,10,,
Blacksmithing 1-300,89.17954816,2,Required: L55+ & Mount,75.0,L45+ 126 to 185 skill,11,10.5,,11,,,11,,
