Unnamed: 0,PA$,Time,Required,Site$,Game Name,Level,Per Level,Per Range,xxx,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
,,,,,,01-05,1,4.0,01-05,0,0.0,01-05,0,0.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,1,5.0,05-10,0,0.0,05-10,0,0.0
,,,,,,10-15,1.5,7.5,10-15,0,,10-15,0,
Leveling,,,,,Copy & Paste Like The Example,15-20,1.5,7.5,15-20,0,,15-20,0,
,,,,,,20-25,2,10.0,20-25,0,,20-25,0,
01-70,266.3495838,17.5,,224.0,Game: World of Warcraft Classic TBC,25-30,2,10.0,25-30,0,,25-30,0,
01-60,165.2794293,11.5,,139.0,Region (US/EU/OCE): ,30-35,2,10.0,30-35,0,,30-35,0,
60-70,101.0701546,6.0,,85.0,Service: ,35-40,2,10.0,35-40,0,,35-40,0,
,,,,,Server Name: ,40-45,2,10.0,40-45,0,,40-45,0,
Custom Leveling Brackets,,,,,Type (PVE/PVP): ,45-50,3,15.0,45-50,0,,45-50,0,
,,,,,Faction (A/H): ,50-55,4,20.0,50-55,0,,50-55,0,
2020-01-05 00:00:00,4.756242568,0.5,,4.0,Class: ,55-60,6,30.0,55-60,0,,55-60,0,
2020-05-10 00:00:00,5.94530321,0.5,,5.0,Battle.net Login: ,60-65,8,40.0,60-65,0,,60-65,0,
2020-10-15 00:00:00,8.917954816,0.5,,7.5,Battle.net Password: ,65-70,9,45.0,65-70,0,,65-70,0,
15-20,8.917954816,0.5,,7.5,Account Name: ,70-75,0,0.0,70-75,0,,70-75,0,
20-25,11.89060642,0.5,,10.0,Character Name: ,75-80,0,0.0,75-80,0,,75-80,0,
25-30,11.89060642,0.5,,10.0,Email for Updates: ,80-85,0,,80-85,0,,80-85,0,
30-35,11.89060642,0.5,,10.0,,85-90,0,,85-90,0,,85-90,0,
35-40,11.89060642,1.0,,10.0,,90-95,0,,90-95,0,,90-95,0,
40-45,11.89060642,1.0,,10.0,Example,95-100,0,,95-100,0,,95-100,0,
45-50,17.83590963,2.0,,15.0,,100-105,0,,100-105,0,,100-105,0,
50-55,23.78121284,2.0,,20.0,Game: World of Warcraft Classic TBC,105-110,0,,105-110,0,,105-110,0,
55-60,35.67181926,2.0,,30.0,Region (US/EU/OCE): US,110-115,0,,110-115,0,,110-115,0,
60-65,47.56242568,3.0,,40.0,Service: Leveling 20-60,115-120,0,,115-120,0,,115-120,0,
65-70,53.50772889,3.0,,45.0,Server Name: Medivh,120-125,0,,120-125,0,,120-125,0,
,,,,,Type (PVE/PVP): PVE,125-130,0,,125-130,0,,125-130,0,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,Faction (A/H): Horde,130-135,0,,130-135,0,,130-135,0,
,,,,,Class: Mage,135-140,0,,135-140,0,,135-140,0,
Gathering,,,,,Battle.net Login: examplelogin,140-145,0,,140-145,0,,140-145,0,
,,,,,Battle.net Password: examplePass,145-150,0,,145-150,0,,145-150,0,
Fishing 1-225,35.67181926,1.0,Required: L55+,30.0,Account Name: WOW2,150-155,0,,150-155,0,,150-155,0,
Fishing 225-300,35.67181926,1.0,Required: L55+ & Mount,30.0,Character Name: exampleName,155-160,0,,155-160,0,,155-160,0,
Fishing 300-375,59.4530321,2.0,Required: L55+ & Mount + TBC,50.0,Email for Updates: example@example.com,160-165,0,,160-165,0,,160-165,0,
,,,,,,165-170,0,,165-170,0,,165-170,0,
Herbalism 1-300,59.4530321,2.0,Required: L55+ & Mount,50.0,,175-180,0,,175-180,0,,175-180,0,
Herbalism 300-375,59.4530321,2.0,Required: L55+ & Mount + TBC,50.0,,180-185,0,,180-185,0,,180-185,0,
,,,,,https://user.playerauctions.com/offerCreation/?offerid=183413486&type=powerleveling&actiontype=copy,185-190,0,,185-190,0,,185-190,0,
Mining 1-300,59.4530321,2.0,Required: L55+ & Mount,50.0,https://user.playerauctions.com/offerCreation/?offerid=183413578&type=powerleveling&actiontype=copy,190-195,0,,190-195,0,,190-195,0,
Mining 300-375,59.4530321,2.0,Required: L55+ & Mount + TBC,50.0,,195-200,0,,195-200,0,,195-200,0,
,,,,,WOTLK,,,224.0,,,0.0,,,0.0
Skinning 1-300,59.4530321,2.0,Required: L55+ & Mount,50.0,https://user.playerauctions.com/offerCreation/?offerid=184944024&type=powerleveling&actiontype=copy,,,,,,,,,
Skinning 300-375,59.4530321,2.0,Required: L55+ & Mount + TBC,50.0,,Current,62,,Current,1,,Current,1,
,,,,,,Desired,70,,Desired,200,,Desired,200,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,https://www.epicnpc.com/threads/ogedge-com-wow-classic-leveling-1-60-350-175-professions-more.1514464/,Site,69,,Site,0,,Site,0,
,,,,,https://www.ownedcore.com/forums/showthread.php?t=925739&p=4261943#post4261943,0.159,83,,0.159,0,,0.159,0,
Crafting (Requires Related Gathering or Gold),,,,,https://www.elitepvpers.com/forum/world-warcraft-trading/4983645-ogedge-com-wow-classic-tbc-leveling.html#post39032971,0.841,,,,,,,,
,,,,,https://www.sythe.org/threads/ogedge-com-wow-classic-1-60-175-350-professions-dungeon-grouping-raid-attunement-more/,Markup,230,1.42857142857142,Markup,200,,Markup,200,
First Aid 1-300,47.56242568,2.0,Required: L55+ & Mount,40.0,,0.2,287.5,,0.2,250,,0.2,250,
First Aid 300-375,47.56242568,2.0,Required: L55+ & Mount + TBC,40.0,,,,,,,,,,
Cooking 1-300,47.56242568,2.0,Required: L55+ & Mount,40.0,,Level,Cumulative,,xxx,Cumulative,,xxx,Cumulative,
Cooking 300-375,47.56242568,2.0,Required: L55+ & Mount + TBC,40.0,,1,0,,1,0,,1,0,
,,,,,,2,1,,2,,,2,,
Alchemy 1-300,89.17954816,2.0,Required: L55+ & Mount,75.0,,3,2,,3,,,3,,
Alchemy 300-375,166.4684899,2.0,Required: L55+ & Mount + TBC,140.0,Professions,4,3,,4,,,4,,
,,,,,,5,4,,5,,,5,,
Blacksmithing 1-300,89.17954816,2.0,Required: L55+ & Mount,75.0,L15+ 01 to 50 skill,6,5,,6,,,6,,
Blacksmithing 300-375,166.4684899,2.0,Required: L55+ & Mount + TBC,140.0,L25+ 51 to 70 skill,7,6,,7,,,7,,
,,,,,L30+ 71 to 100 skill,8,7,,8,,,8,,
Engineering 1-300,89.17954816,2.0,Required: L55+ & Mount,75.0,L35+ 101 to 115 skill,9,8,,9,,,9,,
Engineering 300-375,166.4684899,2.0,Required: L55+ & Mount + TBC,140.0,L40+ 116 to 125 skill,10,9,,10,,,10,,
