Unnamed: 0,PA$,Time,Required,Site$,Game Name,Level,Per Level,Per Range,xxx,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
,,,,,,01-05,1,4.0,01-05,0,0.0,01-05,0,0.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,1,5.0,05-10,0,0.0,05-10,0,0.0
,,,,,,10-15,1.5,7.5,10-15,0,,10-15,0,
Leveling,,,,,Copy & Paste Like The Example,15-20,1.5,7.5,15-20,0,,15-20,0,
,,,,,,20-25,2,10.0,20-25,0,,20-25,0,
01-60,218.7871581,17.0,,184.0,Game: World of Warcraft Classic Vanilla,25-30,2,10.0,25-30,0,,25-30,0,
40-60,130.7966706,9.0,,110.0,Region (US/EU/OCE): ,30-35,3,15.0,30-35,0,,30-35,0,
01-40,87.99048751,8.0,,74.0,Service: ,35-40,3,15.0,35-40,0,,35-40,0,
,,,,,Server Name: ,40-45,3,15.0,40-45,0,,40-45,0,
Custom Leveling Brackets,,,,,Type (PVE/PVP): ,45-50,5,25.0,45-50,0,,45-50,0,
,,,,,Faction (A/H): ,50-55,6,30.0,50-55,0,,50-55,0,
2020-01-05 00:00:00,4.756242568,1.0,,4.0,Class: ,55-60,8,40.0,55-60,0,,55-60,0,
2020-05-10 00:00:00,5.94530321,1.0,,5.0,Battle.net Login: ,60-65,0,0.0,60-65,0,,60-65,0,
2020-10-15 00:00:00,8.917954816,1.0,,7.5,Battle.net Password: ,65-70,0,0.0,65-70,0,,65-70,0,
15-20,8.917954816,1.0,,7.5,Account Name: ,70-75,0,0.0,70-75,0,,70-75,0,
20-25,11.89060642,1.0,,10.0,Character Name: ,75-80,0,0.0,75-80,0,,75-80,0,
25-30,11.89060642,1.0,,10.0,Email for Updates: ,80-85,0,,80-85,0,,80-85,0,
30-35,17.83590963,1.0,,15.0,,85-90,0,,85-90,0,,85-90,0,
35-40,17.83590963,1.0,,15.0,,90-95,0,,90-95,0,,90-95,0,
40-45,17.83590963,2.0,,15.0,Example,95-100,0,,95-100,0,,95-100,0,
45-50,29.72651605,2.0,,25.0,,100-105,0,,100-105,0,,100-105,0,
50-55,35.67181926,2.0,,30.0,Game: World of Warcraft Classic Vanilla,105-110,0,,105-110,0,,105-110,0,
55-60,47.56242568,3.0,,40.0,Region (US/EU/OCE): US,110-115,0,,110-115,0,,110-115,0,
,,,,,Service: Leveling 20-60,115-120,0,,115-120,0,,115-120,0,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,Server Name: Medivh,120-125,0,,120-125,0,,120-125,0,
,,,,,Type (PVE/PVP): PVE,125-130,0,,125-130,0,,125-130,0,
Gathering,,,,,Faction (A/H): Horde,130-135,0,,130-135,0,,130-135,0,
,,,,,Class: Mage,135-140,0,,135-140,0,,135-140,0,
Fishing 1-225,35.67181926,1.0,Required: L55+,30.0,Battle.net Login: examplelogin,140-145,0,,140-145,0,,140-145,0,
Fishing 225-300,35.67181926,1.0,Required: L55+ & Mount,30.0,Battle.net Password: examplePass,145-150,0,,145-150,0,,145-150,0,
,,,,,Account Name: WOW2,150-155,0,,150-155,0,,150-155,0,
Herbalism 1-300,59.4530321,2.0,Required: L55+ & Mount,50.0,Character Name: exampleName,155-160,0,,155-160,0,,155-160,0,
,,,,,Email for Updates: example@example.com,160-165,0,,160-165,0,,160-165,0,
Mining 1-300,59.4530321,2.0,Required: L55+ & Mount,50.0,,165-170,0,,165-170,0,,165-170,0,
,,,,,,175-180,0,,175-180,0,,175-180,0,
Skinning 1-300,59.4530321,2.0,Required: L55+ & Mount,50.0,,180-185,0,,180-185,0,,180-185,0,
,,,,,https://user.playerauctions.com/offerCreation/?offerid=183413486&type=powerleveling&actiontype=copy,185-190,0,,185-190,0,,185-190,0,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,https://user.playerauctions.com/offerCreation/?offerid=183413578&type=powerleveling&actiontype=copy,190-195,0,,190-195,0,,190-195,0,
,,,,,,195-200,0,,195-200,0,,195-200,0,
Crafting (Requires Related Gathering or Gold),,,,,WOTLK,,,184.0,,,0.0,,,0.0
,,,,,https://user.playerauctions.com/offerCreation/?offerid=184944024&type=powerleveling&actiontype=copy,,,,,,,,,
First Aid 1-300,47.56242568,2.0,Required: L55+ & Mount,40.0,,Current,27,,Current,1,,Current,1,
,,,,,,Desired,33,,Desired,200,,Desired,200,
Cooking 1-300,47.56242568,2.0,Required: L55+ & Mount,40.0,https://www.epicnpc.com/threads/ogedge-com-wow-classic-leveling-1-60-350-175-professions-more.1514464/,Site,15,,Site,0,,Site,0,
,,,,,https://www.ownedcore.com/forums/showthread.php?t=925739&p=4261943#post4261943,0.159,18,,0.159,0,,0.159,0,
Alchemy 1-300,89.17954816,2.0,Required: L55+ & Mount,75.0,https://www.elitepvpers.com/forum/world-warcraft-trading/4983645-ogedge-com-wow-classic-tbc-leveling.html#post39032971,0.841,,,,,,,,
,,,,,https://www.sythe.org/threads/ogedge-com-wow-classic-1-60-175-350-professions-dungeon-grouping-raid-attunement-more/,Markup,230,1.42857142857142,Markup,200,,Markup,200,
Blacksmithing 1-300,89.17954816,2.0,Required: L55+ & Mount,75.0,,0.2,287.5,,0.2,250,,0.2,250,
Engineering 1-300,89.17954816,2.0,Required: L55+ & Mount,75.0,,,,,,,,,,
,,,,,,Level,Cumulative,,xxx,Cumulative,,xxx,Cumulative,
Leatherworking 1-300,89.17954816,2.0,Required: L55+ & Mount,75.0,,1,0,,1,0,,1,0,
,,,,,,2,1,,2,,,2,,
Tailoring 1-300,89.17954816,2.0,Required: L55+ & Mount,75.0,,3,2,,3,,,3,,
,,,,,Professions,4,3,,4,,,4,,
Jewelcrafting 1-300,89.17954816,2.0,Required: L55+ & Mount,75.0,,5,4,,5,,,5,,
,,,,,L15+ 01 to 50 skill,6,5,,6,,,6,,
Enchanting 1-300,89.17954816,2.0,Required: L55+ & Mount,75.0,L25+ 51 to 70 skill,7,6,,7,,,7,,
,,,,,L30+ 71 to 100 skill,8,7,,8,,,8,,
,,,,,L35+ 101 to 115 skill,9,8,,9,,,9,,
,,,,,L40+ 116 to 125 skill,10,9,,10,,,10,,
,,,,,L45+ 126 to 185 skill,11,10.5,,11,,,11,,
,,,,,L50+ 186 to 205 skill,12,12,,12,,,12,,
,,,,,L55+ 206 to 300 skill,13,13.5,,13,,,13,,
,,,,,,14,15,,14,,,14,,
,,,,,,15,16.5,,15,,,15,,
,,,,,,16,18,,16,,,16,,
,,,,,,17,19.5,,17,,,17,,
,,,,,,18,21,,18,,,18,,
