Unnamed: 0,Site$,Time,Required,PA$,Game Name,Level,Per Level,Per Range,xxx,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
,,,,,,01-05,1,4.0,01-05,0,0.0,01-05,0,0.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,1,5.0,05-10,0,0.0,05-10,0,0.0
,,,,,,10-15,1,5.0,10-15,0,,10-15,0,
Character Leveling,,,,,Copy & Paste Like The Example,15-20,1,5.0,15-20,0,,15-20,0,
,,,    ,,,20-25,1,5.0,20-25,0,,20-25,0,
01-50,59.0,10,,70.15457788,Game: World of Warcraft Live,25-30,1,5.0,25-30,0,,25-30,0,
01-60,79.0,16,,93.93579073,Region (US/EU/OCE): ,30-35,1,5.0,30-35,0,,30-35,0,
50-60 - Includes Main Story Completion,20.0,6,,23.78121284,Service: ,35-40,1,5.0,35-40,0,,35-40,0,
50-55,10.0,3,,11.89060642,Server Name: ,40-45,2,10.0,40-45,0,,40-45,0,
50-59,18.0,-1,,21.40309156,Type (PVE/PVP): ,45-50,2,10.0,45-50,0,,45-50,0,
,,,,,Faction (A/H): ,50-55,2,10.0,50-55,0,,50-55,0,
01-05,4.0,1,,4.756242568,Class: ,55-60,2,10.0,55-60,0,,55-60,0,
05-10,5.0,1,,5.94530321,Covenant: ,60-65,3,15.0,60-65,0,,60-65,0,
10-15,5.0,1,,5.94530321,Battle.net Login: ,65-70,4,20.0,65-70,0,,65-70,0,
15-20,5.0,1,,5.94530321,Battle.net Password: ,70-75,0,,70-75,0,,70-75,0,
20-25,5.0,1,,5.94530321,Account Name: ,75-80,0,,75-80,0,,75-80,0,
25-30,5.0,1,,5.94530321,Character Name: ,80-85,0,,80-85,0,,80-85,0,
30-35,5.0,1,,5.94530321,Email for Updates: ,85-90,0,,85-90,0,,85-90,0,
35-40,5.0,1,,5.94530321,,90-95,0,,90-95,0,,90-95,0,
40-45,10.0,1,,11.89060642,Example,95-100,0,,95-100,0,,95-100,0,
45-50,10.0,1,,11.89060642,,100-105,0,,100-105,0,,100-105,0,
50-55,10.0,3,,11.89060642,Game: World of Warcraft Live,105-110,0,,105-110,0,,105-110,0,
55-60,10.0,3,,11.89060642,Region (US/EU/OCE): US,110-115,0,,110-115,0,,110-115,0,
60-65,15.0,7,,17.83590963,Service: Leveling 20-60,115-120,0,,115-120,0,,115-120,0,
65-70,20.0,7,,23.78121284,Server Name: Medivh,120-125,0,,120-125,0,,120-125,0,
,,,,,Type (PVE/PVP): PVE,125-130,0,,125-130,0,,125-130,0,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,Faction (A/H): Horde,130-135,0,,130-135,0,,130-135,0,
,,,,,Class: Mage,135-140,0,,135-140,0,,135-140,0,
Mythic Per Dungeon,,,,,Covenant: Venthyr,140-145,0,,140-145,0,,140-145,0,
,,,,,Battle.net Login: examplelogin,145-150,0,,145-150,0,,145-150,0,
Mythic +2 Dungeon ,40.0,4,Requires: Level 60,47.56242568,Battle.net Password: examplePass,150-155,0,,150-155,0,,150-155,0,
Mythic +3 Dungeon ,45.0,4,Requires: Level 60,53.50772889,Account Name: WOW2,155-160,0,,155-160,0,,155-160,0,
Mythic +4 Dungeon ,50.0,4,Requires: Level 60,59.4530321,Character Name: exampleName,160-165,0,,160-165,0,,160-165,0,
Mythic +5 Dungeon ,60.0,4,Requires: Level 60,71.34363853,Email for Updates: example@example.com,165-170,0,,165-170,0,,165-170,0,
Mythic +6 Dungeon ,70.0,4,Requires: Level 60,83.23424495,,175-180,0,,175-180,0,,175-180,0,
Mythic +7 Dungeon ,80.0,4,Requires: Level 60,95.12485137,,180-185,0,,180-185,0,,180-185,0,
Mythic +8 Dungeon ,90.0,4,Requires: Level 60,107.0154578,https://user.playerauctions.com/offerCreation/?offerid=178179793&type=powerleveling&actiontype=copy,185-190,0,,185-190,0,,185-190,0,
Mythic +9 Dungeon ,110.0,4,Requires: Level 60,130.7966706,https://user.playerauctions.com/offerCreation/?offerid=174629294&type=powerleveling&actiontype=copy,190-195,0,,190-195,0,,190-195,0,
Mythic +10 Dungeon ,130.0,4,Requires: Level 60,154.5778835,,195-200,0,,195-200,0,,195-200,0,
,,,,,https://www.epicnpc.com/threads/ogedge-com-leveling-professions-questing-gear-campaign.2141575/,,,114.0,,,0.0,,,0.0
Mythic +0 8 Dungeon Pack ,100.0,48,Requires: Level 60,118.9060642,https://www.ownedcore.com/forums/showthread.php?t=961296&p=4346882#post4346882,,,,,,,,,
,,,,,https://www.elitepvpers.com/forum/world-warcraft-trading/4669275-ogedge-com-wow-classic-leveling-professions-dungeon-running-more.html#post37759383,Current,56,,Current,1,,Current,1,
The Necrotic Wake,30.0,4,Requires: Level 60,35.67181926,https://www.sythe.org/threads/ogedge-com-wow-shadowlands-leveling-professions-questing-more/,Desired,60,,Desired,200,,Desired,200,
Plaguefall,30.0,4,Requires: Level 60,35.67181926,,Site,8,,Site,0,,Site,0,
Mists of Tirna Scithe,30.0,4,Requires: Level 60,35.67181926,,0.159,10,,0.159,0,,0.159,0,
Halls of Atonement,30.0,4,Requires: Level 60,35.67181926,,0.841,,,,,,,,
Theater of Pain,30.0,4,Requires: Level 60,35.67181926,,Markup,200,,Markup,200,,Markup,200,
De Other Side,30.0,4,Requires: Level 60,35.67181926,Professions,0.2,250,,0.2,250,,0.2,250,
Spires of Ascension,30.0,4,Requires: Level 60,35.67181926,,,,,,,,,,
Sanguine Depths,30.0,4,Requires: Level 60,35.67181926,L15+ 01 to 50 skill,,,,,,,,,
,,,,,L25+ 51 to 70 skill,Level,Cumulative,,xxx,Cumulative,,xxx,Cumulative,
Heroic 8 Dungeon Pack ,80.0,24,Requires: Level 60,95.12485137,L30+ 71 to 100 skill,1,0,,1,0,,1,0,
,,,,,L35+ 101 to 115 skill,2,1,,2,,,2,,
The Necrotic Wake,20.0,2,Requires: Level 60,23.78121284,L40+ 116 to 125 skill,3,2,,3,,,3,,
Plaguefall,20.0,2,Requires: Level 60,23.78121284,L45+ 126 to 185 skill,4,3,,4,,,4,,
Mists of Tirna Scithe,20.0,2,Requires: Level 60,23.78121284,L50+ 186 to 205 skill,5,4,,5,,,5,,
Halls of Atonement,20.0,2,Requires: Level 60,23.78121284,L55+ 206 to 300 skill,6,5,,6,,,6,,
Theater of Pain,20.0,2,Requires: Level 60,23.78121284,,7,6,,7,,,7,,
De Other Side,20.0,2,Requires: Level 60,23.78121284,,8,7,,8,,,8,,
Spires of Ascension,20.0,2,Requires: Level 60,23.78121284,,9,8,,9,,,9,,
