Unnamed: 0,Site$,Time,Required,PA$,Game Name,Level,Per Level,Per Range,xxx,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
,,,,,,01-05,2,8.0,01-05,0,0.0,01-05,0,0.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,2,10.0,05-10,0,0.0,05-10,0,0.0
,,,,,,10-15,2,10.0,10-15,0,,10-15,0,
Leveling,,,,,Copy & Paste Like The Example,15-20,2,10.0,15-20,0,,15-20,0,
,,,,,,20-25,3,15.0,20-25,0,,20-25,0,
01-60,248.0,12.6,,294.8870392,Game: World of Warcraft Season of Mastery,25-30,3,15.0,25-30,0,,25-30,0,
,,,,,Region (US/EU/OCE): ,30-35,4,20.0,30-35,0,,30-35,0,
Custom Leveling Brackets,,,,,Service: ,35-40,4,20.0,35-40,0,,35-40,0,
,,,,,Server Name: ,40-45,4,20.0,40-45,0,,40-45,0,
01-05,8.0,0.25,,9.512485137,Type (PVE/PVP): ,45-50,6,30.0,45-50,0,,45-50,0,
05-10,10.0,0.25,,11.89060642,Faction (A/H): ,50-55,8,40.0,50-55,0,,50-55,0,
10-15,10.0,0.3,,11.89060642,Class: ,55-60,10,50.0,55-60,0,,55-60,0,
15-20,10.0,0.3,,11.89060642,Battle.net Login: ,60-65,0,,60-65,0,,60-65,0,
20-25,15.0,0.8,,17.83590963,Battle.net Password: ,65-70,0,,65-70,0,,65-70,0,
25-30,15.0,0.8,,17.83590963,Account Name: ,70-75,0,,70-75,0,,70-75,0,
30-35,20.0,1.2,,23.78121284,Character Name: ,75-80,0,,75-80,0,,75-80,0,
35-40,20.0,1.2,,23.78121284,Email for Updates: ,80-85,0,,80-85,0,,80-85,0,
40-45,20.0,1.5,,23.78121284,,85-90,0,,85-90,0,,85-90,0,
45-50,30.0,2,,35.67181926,Example,90-95,0,,90-95,0,,90-95,0,
50-55,40.0,2,,47.56242568,,95-100,0,,95-100,0,,95-100,0,
55-60,50.0,2,,59.4530321,Game: World of Warcraft Season of Mastery,100-105,0,,100-105,0,,100-105,0,
,,,,,Region (US/EU/OCE): US,105-110,0,,105-110,0,,105-110,0,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,Service: Leveling 20-60,110-115,0,,110-115,0,,110-115,0,
,,,,,Server Name: Medivh,115-120,0,,115-120,0,,115-120,0,
Gathering,,,,,Type (PVE/PVP): PVE,120-125,0,,120-125,0,,120-125,0,
,,,,,Faction (A/H): Horde,125-130,0,,125-130,0,,125-130,0,
Fishing 1-225,30.0,1,Required: L55+,35.67181926,Class: Mage,130-135,0,,130-135,0,,130-135,0,
Fishing 225-300,30.0,1,Required: L55+ & Mount,35.67181926,Battle.net Login: exampleLogin,135-140,0,,135-140,0,,135-140,0,
Herbalism 1-300,50.0,2,Required: L55+ & Mount,59.4530321,Battle.net Password: examplePass,140-145,0,,140-145,0,,140-145,0,
Mining 1-300,50.0,2,Required: L55+ & Mount,59.4530321,Account Name: WOW2,145-150,0,,145-150,0,,145-150,0,
Skinning 1-300,50.0,2,Required: L55+ & Mount,59.4530321,Character Name: exampleName,150-155,0,,150-155,0,,150-155,0,
,,,,,Email for Updates: example@example.com,155-160,0,,155-160,0,,155-160,0,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,160-165,0,,160-165,0,,160-165,0,
,,,,,,165-170,0,,165-170,0,,165-170,0,
Crafting (Requires Related Gathering or Gold),,,,,https://user.playerauctions.com/offerCreation/?offerid=174629334&type=powerleveling&actiontype=copy,175-180,0,,175-180,0,,175-180,0,
,,,,,,180-185,0,,180-185,0,,180-185,0,
First Aid 1-300,40.0,2,Required: L55+ & Mount,47.56242568,https://www.epicnpc.com/threads/ogedge-com-leveling-professions-questing-attunement.2141574/,185-190,0,,185-190,0,,185-190,0,
Cooking 1-300,40.0,2,Required: L55+ & Mount,47.56242568,https://www.elitepvpers.com/forum/world-warcraft-trading/4983646-ogedge-com-wow-season-mastery-leveling-professions-questing-more.html#post39032973,190-195,0,,190-195,0,,190-195,0,
,,,,,,195-200,0,,195-200,0,,195-200,0,
Alchemy 1-300,75.0,2,Required: L55+ & Mount,89.17954816,,,,248.0,,,0.0,,,0.0
Blacksmithing 1-300,75.0,2,Required: L55+ & Mount,89.17954816,,,,,,,,,,
Engineering 1-300,75.0,2,Required: L55+ & Mount,89.17954816,,Current,1,,Current,1,,Current,1,
Leatherworking 1-300,75.0,2,Required: L55+ & Mount,89.17954816,,Desired,34,,Desired,200,,Desired,200,
Tailoring 1-300,75.0,2,Required: L55+ & Mount,89.17954816,,Site,84,,Site,0,,Site,0,
Enchanting 1-300,75.0,2,Required: L55+ & Mount,89.17954816,Professions,0.159,100,,0.159,0,,0.159,0,
,,,,,,0.841,,,,,,,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,L15+ 01 to 50 skill,Markup,200,,Markup,200,,Markup,200,
,,,,,L25+ 51 to 70 skill,0.2,250,,0.2,250,,0.2,250,
Quests & Miscellaneous,,,,,L30+ 71 to 100 skill,,,,,,,,,
,,,,,L35+ 101 to 115 skill,,,,,,,,,
Kalimdor Flight Paths Unlocked,30.0,2.5,Required: L55+ & Mount,35.67181926,L40+ 116 to 125 skill,Level,Cumulative,,xxx,Cumulative,,xxx,Cumulative,
Eastern Kingdoms Flight Paths Unlocked,30.0,2.5,Required: L55+ & Mount,35.67181926,L45+ 126 to 185 skill,1,0,,1,0,,1,0,
Full Azeroth Flight Paths Unlocked,55.0,5,Required: L55+ & Mount,65.39833532,L50+ 186 to 205 skill,2,2,,2,,,2,,
,,,,,L55+ 206 to 300 skill,3,4,,3,,,3,,
Epic 100% Speed Mount,120.0,2,Required: L60,142.6872771,,4,6,,4,,,4,,
Paladin Redemption and Sense Undead Unlocking,35.0,2,,41.61712247,https://classic.wowhead.com/guides/season-of-mastery-som-overview-wow-classic,5,8,,5,,,5,,
,,,,,,6,10,,6,,,6,,
Rhok'delar 4x Demon Kill,100.0,2,Required: Quest active,118.9060642,,7,12,,7,,,7,,
Benediction / Anathema,200.0,RNG,Required: L60,237.8121284,,8,14,,8,,,8,,
,,,,,,9,16,,9,,,9,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,10,18,,10,,,10,,
,,,,,,11,20,,11,,,11,,
Reputation - Exalted*,,,,,,12,22,,12,,,12,,
,,,,,,13,24,,13,,,13,,
Stormwind / Orgrimmar,250.0,,Required: L60,297.2651605,,14,26,,14,,,14,,
Ironforge / Undercity,250.0,,Required: L60,297.2651605,,15,28,,15,,,15,,
Darnassus / Thunder Bluff,300.0,,Required: L60,356.7181926,,16,30,,16,,,16,,
Gnomeregan / Darkspear Trolls,250.0,,Required: L60,297.2651605,,17,32,,17,,,17,,
