category_code,catalog_number,name,unit_of_measure,base_price,price_black,price_color,active
odiah,1,Брюки,шт,380.00,,,true
odiah,2,Брюки спортивні,шт,320.00,,,true
odiah,3,"Комбінезон, брюки з утеплювачем",шт,550.00,,,true
odiah,4,Костюм спортивний,шт,600.00,,,true
odiah,5,Ряса церковна,шт,950.00,,,true
odiah,6,Шорти,шт,300.00,,,true
odiah,7,Капрі,шт,320.00,,,true
odiah,8,"Піджак, кітель",шт,480.00,,,true
odiah,9,Костюм класичний брючний,шт,740.00,,,true
odiah,10,"Сарафан, сукня проста",шт,580.00,,,true
odiah,11,"Сукня вечірня, з аплікаціями, стразами",шт,1000.00,,,true
odiah,12,Сукня вечірня атласна,шт,1250.00,,,true
odiah,13,Сукня весільна проста,шт,2000.00,,,true
odiah,14,Сукня весільна складна,шт,2500.00,,,true
odiah,15,Корсет,шт,520.00,,,true
odiah,16,Корсет весільний,шт,700.00,,,true
odiah,17,Фата,шт,450.00,,,true
odiah,18,Майка,шт,280.00,,,true
odiah,19,Футболка,шт,300.00,,,true
odiah,20,Гольф,шт,330.00,,,true
odiah,21,"Гольф, блуза зі стразами, аплікаціями",шт,380.00,,,true
odiah,22,Комбінезон жіночий простого фасону,шт,550.00,,,true
odiah,23,Комбінезон жіночий складного фасону,шт,700.00,,,true
odiah,24,Сорочка чоловіча/жіноча,шт,380.00,,,true
odiah,25,Спідниця коротка,шт,350.00,,,true
odiah,26,Спідниця довга,шт,400.00,,,true
odiah,27,Спідниця в складку,шт,550.00,,,true
odiah,28,"Шарф, шаль, палантин",шт,380.00,,,true
odiah,29,"Берет, хустина, трикотажна шапка, рукавиці",шт,350.00,,,true
odiah,30,"Капелюх, кепка",шт,350.00,,,true
odiah,31,"Фуражка, формений кашкет",шт,400.00,,,true
odiah,32,Краватка,шт,250.00,,,true
odiah,33,Светр теплий,шт,400.00,,,true
odiah,34,Светр теплий з оздобленням,шт,450.00,,,true
odiah,35,Пуловер,шт,380.00,,,true
odiah,36,Пуловер з оздобленням,шт,420.00,,,true
odiah,37,Жилет костюмний,шт,350.00,,,true
odiah,38,Жилет утеплений штучне хутро,шт,480.00,,,true
odiah,39,Жилет утеплений пуховий,шт,540.00,,,true
odiah,40,"Плащ, пальто трикотажне",шт,550.00,,,true
odiah,41,Плащ утеплений,шт,650.00,,,true
odiah,42,Півпальто демісезонне (до 70 см),шт,520.00,,,true
odiah,43,Півпальто зимове (до 70 см),шт,620.00,,,true
odiah,44,Пальто демісезонне,шт,650.00,,,true
odiah,45,Пальто зимове,шт,750.00,,,true
odiah,46,Куртка на синтепоні - до 80 см,шт,600.00,,,true
odiah,47,Куртка на синтепоні - від 80 см,шт,680.00,,,true
odiah,48,Бушлат,шт,750.00,,,true
odiah,49,"Куртка літня, вітровка",шт,450.00,,,true
odiah,50,Куртка осіння,шт,520.00,,,true
odiah,51,Підстібка зі штучного хутра,шт,450.00,,,true
odiah,52,Підстібка з натурального хутра,шт,680.00,,,true
odiah,53,Пуховик - до 70 см,шт,520.00,,,true
odiah,54,Пуховик - до 80 см,шт,590.00,,,true
odiah,55,Пуховик - до 90 см,шт,650.00,,,true
odiah,56,Пуховик - більше 90 см,шт,750.00,,,true
odiah,57,"Дублянка штучна, шуба (до 70 см)",шт,720.00,,,true
odiah,58,"Дублянка штучна, шуба (більше 70 см)",шт,880.00,,,true
odiah,59,Шуба вовняна - до 80 см,шт,1200.00,,,true
odiah,60,Шуба вовняна - більше 80 см,шт,1700.00,,,true
odiah,61,Ковдра штучна півторна,шт,560.00,,,true
odiah,62,"Ковдра штучна двоспальна, євро",шт,650.00,,,true
odiah,63,Ковдра натуральна півторна,шт,580.00,,,true
odiah,64,"Ковдра натуральна двоспальна, євро",шт,720.00,,,true
odiah,65,Ковдра штуч. подвійна півтораспальна,шт,750.00,,,true
odiah,66,"Ковдра штуч. подвійна двоспальна, євро",шт,850.00,,,true
odiah,67,Плед півтораспальний,шт,480.00,,,true
odiah,68,Плед двоспальний,шт,550.00,,,true
odiah,69,Плед євро,шт,680.00,,,true
odiah,70,Чохли автомобільні за 1 місце тонкі,шт,80.00,,,true
odiah,71,Чохли автомобільні за 1 місце на поролоні,шт,110.00,,,true
odiah,72,Чохол на крісло,шт,450.00,,,true
odiah,73,Чохол на диван,шт,850.00,,,true
odiah,74,Чохли на подушки дитяча,шт,100.00,,,true
odiah,75,Чохли на подушки доросла,шт,120.00,,,true
odiah,76,Чохли на подушки з наповнюв. штучним,шт,160.00,,,true
odiah,77,Чохли на подушки з наповнюв. натуральним,шт,195.00,,,true
odiah,78,Наматрацник одинарний/півтораспальний,шт,650.00,,,true
odiah,79,Наматрацник двоспальний,шт,780.00,,,true
odiah,80,Наматрацник подвійний (півтораспальний),шт,980.00,,,true
odiah,81,Наматрацник подвійний (двоспальний),шт,1200.00,,,true
odiah,82,Подушка дит. синтапон,шт,250.00,,,true
odiah,83,"Подушка дит. пухова, вовняна",шт,280.00,,,true
odiah,84,Подушка синтапон,шт,230.00,,,true
odiah,85,"Подушка пухова, вовняна",шт,260.00,,,true
odiah,86,Іграшка м'яка (до 40 см),шт,270.00,,,true
odiah,87,Іграшка м'яка (до 80 см),шт,490.00,,,true
odiah,88,Іграшка м'яка (від 80 см),шт,950.00,,,true
odiah,89,Візок дитячий,шт,950.00,,,true
odiah,90,Сумка жіноча,шт,550.00,,,true
odiah,91,Портфель,шт,700.00,,,true
odiah,92,"Сумка дорожня, валіза",шт,1250.00,,,true
odiah,93,Жалюзі вертикальні,кг,450.00,,,true
odiah,94,Халат махровий,шт,250.00,,,true
odiah,95,Халат шовковий,шт,320.00,,,true
odiah,96,Скатертина з оздобленням,шт,350.00,,,true
odiah,97,Формений халат,шт,300.00,,,true
odiah,98,"Формений (медичний, кухонний) костюм",шт,420.00,,,true
odiah,99,"Покривало, ковдра - бавовна, фліс",шт,240.00,,,true
odiah,100,"Покривало, ковдра - вовна",шт,290.00,,,true
odiah,101,Драпірувальні вироби з органзи,кг,300.00,,,true
prania_bilyzny,1,Постільна білизна,кг,65.00,,,true
prania_bilyzny,2,Скатертини,кг,150.00,,,true
prania_bilyzny,3,"Тюль, штори, ламбрекени",кг,250.00,,,true
prania_bilyzny,4,Простирадло махрове,шт,250.00,,,true
prania_bilyzny,5,Фасонна білизна (загрузка — мін 5 кг),кг,180.00,,,true
prasuvanya,1,Постільна білизна,кг,45.00,,,true
prasuvanya,2,"Тюль, штори",кг,250.00,,,true
prasuvanya,3,"Піджак, куртка",шт,230.00,,,true
prasuvanya,4,"Півпальто, пальто",шт,280.00,,,true
prasuvanya,5,Брюки,шт,200.00,,,true
prasuvanya,6,"Светр, пуловер",шт,200.00,,,true
prasuvanya,7,Сорочка,шт,200.00,,,true
prasuvanya,8,Спідниця,шт,200.00,,,true
prasuvanya,9,Спідниця складного фасону,шт,250.00,,,true
prasuvanya,10,Сукня проста,шт,350.00,,,true
prasuvanya,11,Сукня складного фасону,шт,450.00,,,true
prasuvanya,12,Сукня весільна,шт,1200.00,,,true
prasuvanya,13,Сукня весільна складного фасону,шт,1700.00,,,true
prasuvanya,14,"Дублянка, шкіряне пальто, плащ",шт,1200.00,,,true
prasuvanya,15,Розпушування пуховика,шт,420.00,,,true
shkiriani_vyroby,1,Брюки,шт,1100.00,,,true
shkiriani_vyroby,2,Капрі,шт,850.00,,,true
shkiriani_vyroby,3,Комір малий,шт,390.00,,,true
shkiriani_vyroby,4,Комір великий,шт,490.00,,,true
shkiriani_vyroby,5,Жилет шкіряний,шт,840.00,,,true
shkiriani_vyroby,6,"Жилет замш, нубук",шт,950.00,,,true
shkiriani_vyroby,7,Куртка з гладкої шкіри (до 70 см),шт,1100.00,,,true
shkiriani_vyroby,8,Куртка з гладкої шкіри (більше 70 см),шт,1250.00,,,true
shkiriani_vyroby,9,"Куртка з нубуку, спілоку, замші (до 70 см)",шт,1300.00,,,true
shkiriani_vyroby,10,"Куртка з нубуку, спілоку, замші (більше 70 см)",шт,1500.00,,,true
shkiriani_vyroby,11,Рукавички,пара,850.00,,,true
